DRUG_NAME,DRUG_NAME,STRUCT_ID
(S)-nitrendipine,(S)-nitrendipine,6
phenylbutanoic acid,phenylbutanoic acid,24
acetylcholine,acetylcholine,65
acepromazine,acepromazine,73
adenosine phosphate,adenosine phosphate,92
alcuronium,alcuronium,109
amiodarone,amiodarone,176
amitriptyline,amitriptyline,180
amlodipine,amlodipine,183
amodiaquine,amodiaquine,186
amoxapine,amoxapine,191
octatropine methylbromide,octatropine methylbromide,223
aprindine,aprindine,231
aripiprazole,aripiprazole,242
astemizole,astemizole,249
atorvastatin,atorvastatin,257
atropine,atropine,260
azathioprine,azathioprine,269
azelastine,azelastine,271
bendamustine,bendamustine,302
bendroflumethiazide,bendroflumethiazide,305
diphenidol,diphenidol,313
benzbromarone,benzbromarone,318
benzthiazide,benzthiazide,332
benzatropine,benzatropine,333
bepridil,bepridil,342
bethanechol,bethanechol,358
biperiden,biperiden,374
bortezomib,bortezomib,391
bromperidol,bromperidol,407
scopolamine butylbromide,scopolamine butylbromide,458
cadralazine,cadralazine,461
carbachol,carbachol,488
carbenicillin,carbenicillin,492
pentoxyverine,pentoxyverine,494
carvedilol,carvedilol,522
cevimeline,cevimeline,584
chloropyramine,chloropyramine,606
chloroquine,chloroquine,607
chlorpromazine,chlorpromazine,621
chlorprothixene,chlorprothixene,623
chlortetracycline,chlortetracycline,624
chlorzoxazone,chlorzoxazone,626
cianidanol,cianidanol,629
cinnarizine,cinnarizine,654
citalopram,citalopram,663
clemastine,clemastine,671
clevidipine,clevidipine,674
clidinium,clidinium,676
clioquinol,clioquinol,681
clodronic acid,clodronic acid,690
clomifene,clomifene,700
clomipramine,clomipramine,701
clotrimazole,clotrimazole,719
clozapine,clozapine,722
colforsin daropate,colforsin daropate,729
cyamemazine,cyamemazine,746
cyclizine,cyclizine,749
cyclobenzaprine,cyclobenzaprine,751
cycrimine,cycrimine,763
cyproheptadine,cyproheptadine,765
darifenacin,darifenacin,784
dasatinib,dasatinib,785
desipramine,desipramine,812
desloratadine,desloratadine,814
dexfenfluramine,dexfenfluramine,832
dicloxacillin,dicloxacillin,866
dicycloverine,dicycloverine,868
diethylstilbestrol,diethylstilbestrol,875
diltiazem,diltiazem,897
dimenhydrinate,dimenhydrinate,901
dimetindene,dimetindene,903
diphemanil,diphemanil,915
diphenhydramine,diphenhydramine,916
diphenylpyraline,diphenylpyraline,920
disopyramide,disopyramide,926
dosulepin,dosulepin,951
doxepin,doxepin,956
doxorubicin,doxorubicin,960
drotaverine,drotaverine,969
droxidopa,droxidopa,971
ebastine,ebastine,977
econazole,econazole,983
edetic acid,edetic acid,987
endralazine,endralazine,1008
ergotamine,ergotamine,1043
erlotinib,erlotinib,1045
escitalopram,escitalopram,1053
estradiol,estradiol,1057
estramustine phosphate,estramustine phosphate,1066
profenamine,profenamine,1086
felodipine,felodipine,1142
fenfluramine,fenfluramine,1150
flunarizine,flunarizine,1200
fluoxetine,fluoxetine,1209
fluphenazine,fluphenazine,1212
fluphenazine enanthate,fluphenazine enanthate,1214
gallamine,gallamine,1273
gefitinib,gefitinib,1282
haloperidol,haloperidol,1353
hexocyclium,hexocyclium,1371
homatropine,homatropine,1379
hydralazine,hydralazine,1384
hydrochlorothiazide,hydrochlorothiazide,1385
hydroxychloroquine,hydroxychloroquine,1395
hyoscyamine,hyoscyamine,1402
imatinib,imatinib,1423
imipramine,imipramine,1427
ipratropium,ipratropium,1475
isopropamide,isopropamide,1500
isradipine,isradipine,1511
ketorolac,ketorolac,1529
ketotifen,ketotifen,1530
levosimendan,levosimendan,1576
lofepramine,lofepramine,1592
lovastatin,lovastatin,1612
loxapine,loxapine,1613
maprotiline,maprotiline,1634
mebhydrolin,mebhydrolin,1643
mecamylamine,mecamylamine,1646
menadione,menadione,1683
pecazine,pecazine,1688
mepenzolate,mepenzolate,1689
mequitazine,mequitazine,1707
mesoridazine,mesoridazine,1712
methacholine,methacholine,1726
methapyrilene,methapyrilene,1738
methscopolamine,methscopolamine,1757
methylthioninium chloride,methylthioninium chloride,1763
methysergide,methysergide,1775
metixene,metixene,1780
metoclopramide,metoclopramide,1782
mezlocillin,mezlocillin,1795
mianserin,mianserin,1796
mibefradil,mibefradil,1797
miconazole,miconazole,1800
miltefosine,miltefosine,1810
minaprine,minaprine,1812
mirtazapine,mirtazapine,1816
mitoxantrone,mitoxantrone,1821
montelukast,montelukast,1836
nicotinamide,nicotinamide,1906
niclosamide,niclosamide,1912
nicotine,nicotine,1920
nifedipine,nifedipine,1922
nilotinib,nilotinib,1932
nilvadipine,nilvadipine,1934
nimodipine,nimodipine,1937
nisoldipine,nisoldipine,1942
nitrendipine,nitrendipine,1947
nortriptyline,nortriptyline,1971
ofloxacin,ofloxacin,1981
olanzapine,olanzapine,1982
omapatrilat,omapatrilat,1989
orphenadrine,orphenadrine,1999
oxatomide,oxatomide,2014
oxyphencyclimine,oxyphencyclimine,2026
oxybutynin,oxybutynin,2028
oxyphenonium,oxyphenonium,2039
aminosalicylic acid,aminosalicylic acid,2050
paroxetine,paroxetine,2068
perhexiline,perhexiline,2106
phenylpropanolamine,phenylpropanolamine,2149
physostigmine,physostigmine,2159
pilocarpine,pilocarpine,2166
pinacidil,pinacidil,2173
pirenzepine,pirenzepine,2200
pizotifen,pizotifen,2220
pridinol,pridinol,2263
prochlorperazine,prochlorperazine,2274
procyclidine,procyclidine,2276
promazine,promazine,2284
promethazine,promethazine,2286
propantheline,propantheline,2293
propiomazine,propiomazine,2298
propranolol,propranolol,2303
protriptyline,protriptyline,2320
pyrimethamine,pyrimethamine,2332
quetiapine,quetiapine,2337
mepacrine,mepacrine,2338
risperidone,risperidone,2389
scopolamine,scopolamine,2424
sertraline,sertraline,2436
solifenacin,solifenacin,2457
sorafenib,sorafenib,2459
strychnine,strychnine,2484
sulconazole,sulconazole,2495
suloctidil,suloctidil,2536
sunitinib,sunitinib,2544
tacrine,tacrine,2551
tamoxifen,tamoxifen,2561
terconazole,terconazole,2599
terfenadine,terfenadine,2600
sapropterin,sapropterin,2612
thiethylperazine,thiethylperazine,2630
thioridazine,thioridazine,2637
thiothixene,thiothixene,2639
tiludronic acid,tiludronic acid,2666
tiotropium bromide,tiotropium bromide,2677
tolterodine,tolterodine,2705
tridihexethyl,tridihexethyl,2737
trihexyphenidyl,trihexyphenidyl,2745
troglitazone,troglitazone,2767
tropicamide,tropicamide,2774
trospium,trospium,2776
valethamate,valethamate,2800
valproic acid,valproic acid,2803
verapamil,verapamil,2815
vinburnine,vinburnine,2824
nicotinic acid,nicotinic acid,2835
ziprasidone,ziprasidone,2865
zotepine,zotepine,2875
suramin,suramin,2966
benzethonium,benzethonium,3018
bietamiverine,bietamiverine,3025
eburnamonine,eburnamonine,3170
enoxolone,enoxolone,3178
evans blue,evans blue,3217
femoxetine,femoxetine,3220
furtrethonium,furtrethonium,3256
iloperidone,iloperidone,3294
oxiconazole,oxiconazole,3408
quercetin,quercetin,3514
ruboxistaurin,ruboxistaurin,3533
sabcomeline,sabcomeline,3536
vincamine,vincamine,3643
xanomeline,xanomeline,3652
yohimbine,yohimbine,3659
ivermectin,ivermectin,3972
asenapine,asenapine,4115
pazopanib,pazopanib,4118
romidepsin,romidepsin,4119
vorinostat,vorinostat,4124
gentian violet,gentian violet,4138
linagliptin,linagliptin,4175
vandetanib,vandetanib,4178
crizotinib,crizotinib,4187
ruxolitinib,ruxolitinib,4190
fesoterodine,fesoterodine,4191
axitinib,axitinib,4225
Florbetapir F-18,Florbetapir F-18,4285
Flutemetamol (18F),Flutemetamol (18F),4301
glycopyrronium bromide,glycopyrronium bromide,4302
aceclidine,aceclidine,4314
afatinib,afatinib,4318
bosutinib,bosutinib,4359
dexchlorpheniramine,dexchlorpheniramine,4411
carfilzomib,carfilzomib,4483
aclidinium bromide,aclidinium bromide,4484
trypan blue,trypan blue,4608
trabectedin,trabectedin,4633
betamethasone phosphate,betamethasone phosphate,4667
panobinostat,panobinostat,4682
cabozantinib,cabozantinib,4715
ponatinib,ponatinib,4716
tenidap,tenidap,4728
ibrutinib,ibrutinib,4810
umeclidinium,umeclidinium,4816
florbetaben F18,florbetaben F18,4818
ceritinib,ceritinib,4866
belinostat,belinostat,4876
imidafenacin,imidafenacin,4902
nintedanib,nintedanib,4903
chidamide,chidamide,4973
ixazomib,ixazomib,5067
eteplirsen,eteplirsen,5182
apatinib,apatinib,5211
midostaurin,midostaurin,5231
neratinib,neratinib,5252
acalabrutinib,acalabrutinib,5260
dacomitinib,dacomitinib,5297
lorlatinib,lorlatinib,5302
revefenacin,revefenacin,5303
selinexor,selinexor,5330
quizartinib,quizartinib,5341
entrectinib,entrectinib,5345
fedratinib,fedratinib,5347
golodirsen,golodirsen,5357
brilliant Blue G,brilliant Blue G,5359
oliceridine,oliceridine,5406
viltolarsen,viltolarsen,5408
tirbanibulin,tirbanibulin,5431
casimersen,casimersen,5443
infigratinib,infigratinib,5459
