,DRUG_ID,DRUG_NAME,DISEASES,PHASE
0,D00ABE,ALD-301,Ischemia , Phase 2
1,D00ABE,ALD-301,Peripheral arterial disease , Phase 2
2,D00ABO,KW-2449,Acute myeloid leukaemia , Phase 1
3,D00ABW,Opterone,Hormone deficiency , Discontinued in Phase 1
4,D00ACC,ND1251,Depression , Discontinued in Phase 1
5,D00ACH,HMR-4004,Bacterial infection , Terminated
6,D00ACP,Anti-HER-2 mab-FcgR2- FcgR4 fusion proteins,Solid tumour/cancer , Investigative
7,D00ADV,THF carbapenems,Gram-positive bacterial infection , Terminated
8,D00AEQ,Hydroxyprogesterone,Solid tumour/cancer , Approved
9,D00AES,Dicopp,Recurrent glioblastoma , Phase 2
10,D00AEV,Oxothiazolidine carboxylate,Human immunodeficiency virus infection , Approved
11,D00AHT,PRAME antigen-specific cancer immunotherapeutic,Non-small-cell lung cancer , Phase 2
12,D00AHT,PRAME antigen-specific cancer immunotherapeutic,Metastatic melanoma , Phase 1
13,D00AHT,PRAME antigen-specific cancer immunotherapeutic,Melanoma , Phase 1
14,D00AHV,SKL-PD,Central nervous system disease , Investigative
15,D00AIS,AP-11014,Solid tumour/cancer , Investigative
16,D00AIZ,SND-159,Mycobacterium infection , Investigative
17,D00AJI,PF-4480682,Neuropathic pain , Discontinued in Phase 2
18,D00AJS,AIK11,Non-insulin dependent diabetes , Investigative
19,D00AKL,Immunose FLU,Influenza virus infection , Phase 2
20,D00AKQ,O-desulfated heparin,Chronic obstructive pulmonary disease , Phase 2
21,D00AKR,AMG 479,Breast cancer , Phase 2
22,D00AKV,F-351,Liver disease , Phase 2
23,D00AKY,SK&F-S-106203,Asthma , Discontinued in Phase 2
24,D00ALE,H1N1 pandemic influenza vaccine,Influenza virus infection , Approved
25,D00ALJ,Placental expanded stem cell therapy,Peripheral vascular disease , Phase 2
26,D00AMQ,Ethanol,Cystitis , Approved
27,D00AMQ,Ethanol,Chronic pain , Approved
28,D00ANG,Erythropoietin-transfected autologous cell therapy,Anemia , Phase 1/2
29,D00AOJ,Docosanol,Herpes simplex virus infection , Approved
30,D00AQP,Ribavirin + interferon alfa-2a,Middle East Respiratory Syndrome (MERS) , Investigative
31,D00AQV,COTI-4A,Small-cell lung cancer , Investigative
32,D00AQY,IDDB-41331,Obesity , Preclinical
33,D00ARN,Tyloxapol,Cystic fibrosis , Terminated
34,D00ARS,MER-3001,Type-1 diabetes , Phase 2
35,D00ARS,MER-3001,Type-2 diabetes , Phase 2
36,D00ASJ,Typherix,Salmonella infection , Approved
37,D00ASX,PJ-015,Hyperlipidaemia , Investigative
38,D00AUC,(99M)-TC-CPI,Diagnostic imaging , Phase 2
39,D00AUM,AQU-010,Neuropathic pain , Investigative
40,D00AUX,MSDC-0602,Type-2 diabetes , Phase 2
41,D00AUZ,Thiolated chitosan nanoparticle theophylline,Inflammation , Investigative
42,D00AVG,GX-110E,Hepatitis B virus infection , Investigative
43,D00AVH,VEN100,Bacterial infection , Phase 2
44,D00AWA,WIN-63759,Emphysema , Terminated
