,DRUG_ID,DRUG_NAME,DISEASES,PHASE,Name,ontologyTermName,ontologyTermIRI,score,validated,review,ID
0,D00ABE,ALD-301,Ischemia , Phase 2,ischemia,,,,,,
1,D00ABE,ALD-301,Peripheral arterial disease , Phase 2,peripheral arterial disease,Peripheral arterial stenosis,http://purl.obolibrary.org/obo/HP_0004950,100.0,False,False,HP:0004950
2,D00ABO,KW-2449,Acute myeloid leukaemia , Phase 1,acute myeloid leukaemia,Acute myeloid leukemia,http://purl.obolibrary.org/obo/HP_0004808,100.0,False,False,HP:0004808
3,D00ABW,Opterone,Hormone deficiency , Discontinued in Phase 1,hormone deficiency,,,,,,
4,D00ACC,ND1251,Depression , Discontinued in Phase 1,depression,Depressivity,http://purl.obolibrary.org/obo/HP_0000716,100.0,False,False,HP:0000716
5,D00ACH,HMR-4004,Bacterial infection , Terminated,bacterial infection,Cellulitis,http://purl.obolibrary.org/obo/HP_0100658,85.71,False,False,HP:0100658
6,D00ACP,Anti-HER-2 mab-FcgR2- FcgR4 fusion proteins,Solid tumour/cancer , Investigative,solid tumour cancer,,,,,,
7,D00ADV,THF carbapenems,Gram-positive bacterial infection , Terminated,gram positive bacterial infection,,,,,,
8,D00AEQ,Hydroxyprogesterone,Solid tumour/cancer , Approved,solid tumour cancer,,,,,,
9,D00AES,Dicopp,Recurrent glioblastoma , Phase 2,recurrent glioblastoma,,,,,,
10,D00AEV,Oxothiazolidine carboxylate,Human immunodeficiency virus infection , Approved,human immunodeficiency virus infection,,,,,,
11,D00AHT,PRAME antigen-specific cancer immunotherapeutic,Non-small-cell lung cancer , Phase 2,non small cell lung cancer,Non-small cell lung carcinoma,http://purl.obolibrary.org/obo/HP_0030358,100.0,False,False,HP:0030358
12,D00AHT,PRAME antigen-specific cancer immunotherapeutic,Non-small-cell lung cancer , Phase 2,non small cell lung cancer,Non-small cell lung carcinoma,http://purl.obolibrary.org/obo/HP_0030358,100.0,False,False,HP:0030358
13,D00AHT,PRAME antigen-specific cancer immunotherapeutic,Metastatic melanoma , Phase 1,metastatic melanoma,,,,,,
14,D00AHT,PRAME antigen-specific cancer immunotherapeutic,Melanoma , Phase 1,melanoma,Melanoma,http://purl.obolibrary.org/obo/HP_0002861,100.0,False,False,HP:0002861
15,D00AHV,SKL-PD,Central nervous system disease , Investigative,central nervous system disease,,,,,,
16,D00AIS,AP-11014,Solid tumour/cancer , Investigative,solid tumour cancer,,,,,,
17,D00AIZ,SND-159,Mycobacterium infection , Investigative,mycobacterium infection,,,,,,
18,D00AJI,PF-4480682,Neuropathic pain , Discontinued in Phase 2,neuropathic pain,,,,,,
19,D00AJS,AIK11,Non-insulin dependent diabetes , Investigative,non insulin dependent diabetes,Type II diabetes mellitus,http://purl.obolibrary.org/obo/HP_0005978,100.0,False,False,HP:0005978
20,D00AKL,Immunose FLU,Influenza virus infection , Phase 2,influenza virus infection,,,,,,
21,D00AKQ,O-desulfated heparin,Chronic obstructive pulmonary disease , Phase 2,chronic obstructive pulmonary disease,Chronic pulmonary obstruction,http://purl.obolibrary.org/obo/HP_0006510,100.0,False,False,HP:0006510
22,D00AKR,AMG 479,Breast cancer , Phase 2,breast cancer,Breast carcinoma,http://purl.obolibrary.org/obo/HP_0003002,100.0,False,False,HP:0003002
23,D00AKV,F-351,Liver disease , Phase 2,liver disease,Degenerative liver disease,http://purl.obolibrary.org/obo/HP_0005237,81.25,False,False,HP:0005237
24,D00AKY,SK&F-S-106203,Asthma , Discontinued in Phase 2,asthma,Asthma,http://purl.obolibrary.org/obo/HP_0002099,100.0,False,False,HP:0002099
