DRUG_NAME,STRUCT_ID,TARGET_NAME,TARGET_CLASS,ACCESSION,GENE,SWISSPROT,ACT_VALUE,ACT_UNIT,ACT_TYPE,ACT_COMMENT,ACT_SOURCE,RELATION,MOA,MOA_SOURCE,ACT_SOURCE_URL,MOA_SOURCE_URL,ACTION_TYPE,TDL,ORGANISM,NEW_ID
adenosine,90,Glyceraldehyde-3-phosphate dehydrogenase liver,Enzyme,P04406,GAPDH,G3P_HUMAN,4.46,,IC50,Tested for the inhibitory activity against Glycosomal glyceraldehyde 3-phosphate dehydrogenase (gGAPDH) of human erythrocyte,CHEMBL,=,,,,,,Tchem,Homo sapiens,HGNC:4141
adenosine triphosphate,91,Heat shock cognate 71 kDa protein,Unclassified,P11142,HSPA8,HSP7C_HUMAN,4.76,,IC50,PUBCHEM_BIOASSAY: In Vitro Hsc70 Dose Response Fluorescence Polarization Assay. (Class of assay: confirmatory) [Related pubchem assays: 1072 ],CHEMBL,=,,,,,,Tchem,Homo sapiens,HGNC:5241
adenosine triphosphate,91,Heat shock 70 kDa protein 1A,Unclassified,P0DMV8,HSPA1A,HS71A_HUMAN,5.47,,IC50,,CHEMBL,=,,,,,,Tchem,Homo sapiens,HGNC:5232
alfentanil,114,Mu-type opioid receptor,GPCR,P35372,OPRM1,OPRM_HUMAN,8.5,,EC50,,WOMBAT-PK,=,1.0,CHEMBL,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL634,AGONIST,Tclin,Homo sapiens,HGNC:8156
alvimopan,143,Mu-type opioid receptor,GPCR,P35372,OPRM1,OPRM_HUMAN,9.398,,Ki,,WOMBAT-PK,=,1.0,CHEMBL,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL270190,ANTAGONIST,Tclin,Homo sapiens,HGNC:8156
amiodarone,176,Mu-type opioid receptor,GPCR,P35372,OPRM1,OPRM_HUMAN,5.112,,Ki,"DRUGMATRIX: Opiate mu (OP3, MOP) radioligand binding (ligand: [3H] Diprenorphine)",DRUG MATRIX,=,,,,,,Tclin,Homo sapiens,HGNC:8156
amodiaquine,186,Amyloid beta A4 protein,Unclassified,P05067,APP,A4_HUMAN,5.4,,IC50,Modulation of human wild-type APP695 expressed in SH-SY5Y cells assessed as inhibition of amyloid beta (1 to 40 residues) production measured after 24 hrs,CHEMBL,=,,,,,,,Homo sapiens,HGNC:620
anileridine,220,Mu-type opioid receptor,GPCR,P35372,OPRM1,OPRM_HUMAN,,,,,WOMBAT-PK,,1.0,CHEMBL,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1201347,AGONIST,Tclin,Homo sapiens,HGNC:8156
astemizole,249,Mu-type opioid receptor,GPCR,P35372,OPRM1,OPRM_HUMAN,6.218,,Ki,"DRUGMATRIX: Opiate mu (OP3, MOP) radioligand binding (ligand: [3H] Diprenorphine)",DRUG MATRIX,=,,,,,,Tclin,Homo sapiens,HGNC:8156
astemizole,249,Epidermal growth factor receptor,Kinase,P00533,EGFR,EGFR_HUMAN,5.218,,IC50,"DRUGMATRIX: Protein Tyrosine Kinase, EGF Receptor enzyme inhibition (substrate: Poly(Glu:Tyr))",DRUG MATRIX,=,,,,,,Tclin,Homo sapiens,HGNC:3236
bacitracin,281,Epidermal growth factor receptor,Kinase,P00533,EGFR,EGFR_HUMAN,5.269,,IC50,"DRUGMATRIX: Protein Tyrosine Kinase, EGF Receptor enzyme inhibition (substrate: Poly(Glu:Tyr))",DRUG MATRIX,=,,,,,,Tclin,Homo sapiens,HGNC:3236
bortezomib,391,26S proteasome non-ATPase regulatory subunit 1,Cytosolic other,Q99460,PSMD1,PSMD1_HUMAN,7.745,,Ki,,WOMBAT-PK,=,,,,,,Tbio,Homo sapiens,HGNC:9554
