DRUG_NAME,STRUCT_ID,TARGET_NAME,TARGET_CLASS,ACCESSION,GENE,SWISSPROT,ACT_VALUE,ACT_UNIT,ACT_TYPE,ACT_COMMENT,ACT_SOURCE,RELATION,MOA,MOA_SOURCE,ACT_SOURCE_URL,MOA_SOURCE_URL,ACTION_TYPE,TDL,ORGANISM,NEW_ID
aclarubicin,80,72 kDa type IV collagenase,Enzyme,P08253,MMP2,MMP2_HUMAN,5.0,,IC50,Concentration inhibiting Clostridium histolyticum collagenase.,CHEMBL,=,,,,,,Tchem,Homo sapiens,HGNC:7166
aldosterone,111,Sex hormone-binding globulin,Secreted,P04278,SHBG,SHBG_HUMAN,5.32,,Kd,Displacement of [3H]5alpha dihydrotestosterone from human sex hormone binding globulin,CHEMBL,=,,,,,,Tchem,Homo sapiens,HGNC:10839
aminoquinuride,174,Matrix metalloproteinase-9,Enzyme,P14780,MMP9,MMP9_HUMAN,4.0,,IC50,Inhibition of human MMP-9 after 60 mins by FRET assay,CHEMBL,=,,,,,,Tchem,Homo sapiens,HGNC:7176
androstenediol,214,Sex hormone-binding globulin,Secreted,P04278,SHBG,SHBG_HUMAN,9.17,,Kd,Displacement of [3H]5alpha dihydrotestosterone from human sex hormone binding globulin,CHEMBL,=,,,,,,Tchem,Homo sapiens,HGNC:10839
androstenedione,215,Sex hormone-binding globulin,Secreted,P04278,SHBG,SHBG_HUMAN,7.46,,Kd,Displacement of [3H]5alpha dihydrotestosterone from human sex hormone binding globulin,CHEMBL,=,,,,,,Tchem,Homo sapiens,HGNC:10839
astemizole,249,Epidermal growth factor receptor,Kinase,P00533,EGFR,EGFR_HUMAN,5.218,,IC50,"DRUGMATRIX: Protein Tyrosine Kinase, EGF Receptor enzyme inhibition (substrate: Poly(Glu:Tyr))",DRUG MATRIX,=,,,,,,Tclin,Homo sapiens,HGNC:3236
bacitracin,281,Epidermal growth factor receptor,Kinase,P00533,EGFR,EGFR_HUMAN,5.269,,IC50,"DRUGMATRIX: Protein Tyrosine Kinase, EGF Receptor enzyme inhibition (substrate: Poly(Glu:Tyr))",DRUG MATRIX,=,,,,,,Tclin,Homo sapiens,HGNC:3236
beclometasone dipropionate,294,Matrix metalloproteinase-9,Enzyme,P14780,MMP9,MMP9_HUMAN,5.7,,IC50,"DRUGMATRIX: Protease, Matrix Metalloprotease-9 (MMP-9) enzyme inhibition (substrate: Mca-Pro-Leu-Gly-Leu-Dpa-Ala-Arg-NH2)",CHEMBL,=,,,,,,Tchem,Homo sapiens,HGNC:7176
budesonide,419,Matrix metalloproteinase-9,Enzyme,P14780,MMP9,MMP9_HUMAN,5.701,,IC50,"DRUGMATRIX: Protease, Matrix Metalloprotease-9 (MMP-9) enzyme inhibition (substrate: Mca-Pro-Leu-Gly-Leu-Dpa-Ala-Arg-NH2)",DRUG MATRIX,=,,,,,,Tchem,Homo sapiens,HGNC:7176
busulfan,438,Matrix metalloproteinase-9,Enzyme,P14780,MMP9,MMP9_HUMAN,5.283,,IC50,"DRUGMATRIX: Protease, Matrix Metalloprotease-9 (MMP-9) enzyme inhibition (substrate: Mca-Pro-Leu-Gly-Leu-Dpa-Ala-Arg-NH2)",DRUG MATRIX,=,,,,,,Tchem,Homo sapiens,HGNC:7176
candesartan cilexetil,475,Epidermal growth factor receptor,Kinase,P00533,EGFR,EGFR_HUMAN,5.48,,IC50,"DRUGMATRIX: Protein Tyrosine Kinase, EGF Receptor enzyme inhibition (substrate: Poly(Glu:Tyr))",CHEMBL,=,,,,,,Tclin,Homo sapiens,HGNC:3236
cefonicid,542,Matrix metalloproteinase-9,Enzyme,P14780,MMP9,MMP9_HUMAN,5.04,,IC50,,WOMBAT-PK,=,,,,,,Tchem,Homo sapiens,HGNC:7176
cefotetan,547,72 kDa type IV collagenase,Enzyme,P08253,MMP2,MMP2_HUMAN,4.49,,IC50,,WOMBAT-PK,=,,,,,,Tchem,Homo sapiens,HGNC:7166
cefotetan,547,Catechol O-methyltransferase,Enzyme,P21964,COMT,COMT_HUMAN,4.85,,IC50,,WOMBAT-PK,=,,,,,,Tclin,Homo sapiens,HGNC:2228
cefotetan,547,Matrix metalloproteinase-9,Enzyme,P14780,MMP9,MMP9_HUMAN,4.72,,IC50,,WOMBAT-PK,=,,,,,,Tchem,Homo sapiens,HGNC:7176
cefotiam,548,Matrix metalloproteinase-9,Enzyme,P14780,MMP9,MMP9_HUMAN,4.46,,IC50,,WOMBAT-PK,=,,,,,,Tchem,Homo sapiens,HGNC:7176
cefuroxime,565,72 kDa type IV collagenase,Enzyme,P08253,MMP2,MMP2_HUMAN,4.37,,IC50,,WOMBAT-PK,=,,,,,,Tchem,Homo sapiens,HGNC:7166
cefuroxime,565,Matrix metalloproteinase-9,Enzyme,P14780,MMP9,MMP9_HUMAN,4.96,,IC50,,WOMBAT-PK,=,,,,,,Tchem,Homo sapiens,HGNC:7176
cefalotin,574,Matrix metalloproteinase-9,Enzyme,P14780,MMP9,MMP9_HUMAN,4.66,,IC50,,WOMBAT-PK,=,,,,,,Tchem,Homo sapiens,HGNC:7176
cefradine,576,Matrix metalloproteinase-9,Enzyme,P14780,MMP9,MMP9_HUMAN,5.4,,IC50,,WOMBAT-PK,=,,,,,,Tchem,Homo sapiens,HGNC:7176
chlorhexidine,597,72 kDa type IV collagenase,Enzyme,P08253,MMP2,MMP2_HUMAN,5.12,,IC50,Inhibition of human rheumatoid synovial fibroblasts gelatinase A after 30 mins by fluorescence plate reader,CHEMBL,=,,,,,,Tchem,Homo sapiens,HGNC:7166
chlorhexidine,597,Matrix metalloproteinase-9,Enzyme,P14780,MMP9,MMP9_HUMAN,5.12,,IC50,Inhibition of human neutrophils gelatinase B after 30 mins by fluorescence plate reader,CHEMBL,=,,,,,,Tchem,Homo sapiens,HGNC:7176
chloropyramine,606,Focal adhesion kinase 1,Kinase,Q05397,PTK2,FAK1_HUMAN,6.24,,Kd,Binding affinity to biotinylated human FAK FAT domain by biolayer interoferometry,CHEMBL,=,,,,,,Tclin,Homo sapiens,HGNC:9611
chlorpromazine,621,Epidermal growth factor receptor,Kinase,P00533,EGFR,EGFR_HUMAN,4.54,,IC50,"DRUGMATRIX: Protein Tyrosine Kinase, EGF Receptor enzyme inhibition (substrate: Poly(Glu:Tyr))",DRUG MATRIX,=,,,,,,Tclin,Homo sapiens,HGNC:3236
clomifene,700,Epidermal growth factor receptor,Kinase,P00533,EGFR,EGFR_HUMAN,5.979,,IC50,"DRUGMATRIX: Protein Tyrosine Kinase, EGF Receptor enzyme inhibition (substrate: Poly(Glu:Tyr))",DRUG MATRIX,=,,,,,,Tclin,Homo sapiens,HGNC:3236
