id,subject_id,subject_label,subject_iri,subject_category,subject_taxon_id,subject_taxon_label,object_id,object_label,object_iri,object_category,object_taxon_id,object_taxon_label,relation_id,relation_label,relation_iri
DC0,4483,,,DRUG,,,HP:0030357,,,,,,CustomRO:DC,is substance that treats,
DC1,1043,,,DRUG,,,HP:0002315,,,,,,CustomRO:DC,is substance that treats,
DC2,812,,,DRUG,,,HP:0007018,,,,,,CustomRO:DC,is substance that treats,
DC3,4225,,,DRUG,,,HP:0005584,,,,,,CustomRO:DC,is substance that treats,
DC4,4175,,,DRUG,,,HP:0005978,,,,,,CustomRO:DC,is substance that treats,
DC5,4175,,,DRUG,,,HP:0005978,,,,,,CustomRO:DC,is substance that treats,
DC6,5431,,,DRUG,,,HP:0012125,,,,,,CustomRO:DC,is substance that treats,
DC7,1683,,,DRUG,,,HP:0012125,,,,,,CustomRO:DC,is substance that treats,
DC8,4175,,,DRUG,,,HP:0005978,,,,,,CustomRO:DC,is substance that treats,
DC9,4175,,,DRUG,,,HP:0005978,,,,,,CustomRO:DC,is substance that treats,
DC10,1989,,,DRUG,,,HP:0000822,,,,,,CustomRO:DC,is substance that treats,
DC11,176,,,DRUG,,,HP:0004756,,,,,,CustomRO:DC,is substance that treats,
DC12,2815,,,DRUG,,,HP:0000822,,,,,,CustomRO:DC,is substance that treats,
DC13,1612,,,DRUG,,,HP:0003124,,,,,,CustomRO:DC,is substance that treats,
DC14,2561,,,DRUG,,,HP:0003002,,,,,,CustomRO:DC,is substance that treats,
DC15,1045,,,DRUG,,,HP:0003003,,,,,,CustomRO:DC,is substance that treats,
DC16,257,,,DRUG,,,HP:0003077,,,,,,CustomRO:DC,is substance that treats,
DC17,960,,,DRUG,,,HP:0001402,,,,,,CustomRO:DC,is substance that treats,
DC18,960,,,DRUG,,,HP:0003002,,,,,,CustomRO:DC,is substance that treats,
DC19,960,,,DRUG,,,HP:0002664,,,,,,CustomRO:DC,is substance that treats,
DC20,5260,,,DRUG,,,HP:0001909,,,,,,CustomRO:DC,is substance that treats,
DC21,749,,,DRUG,,,HP:0002018,,,,,,CustomRO:DC,is substance that treats,
DC22,183,,,DRUG,,,HP:0000822,,,,,,CustomRO:DC,is substance that treats,
DC23,1057,,,DRUG,,,HP:0003002,,,,,,CustomRO:DC,is substance that treats,
DC24,1782,,,DRUG,,,HP:0002018,,,,,,CustomRO:DC,is substance that treats,
DC25,461,,,DRUG,,,HP:0000822,,,,,,CustomRO:DC,is substance that treats,
DC26,2745,,,DRUG,,,HP:0001332,,,,,,CustomRO:DC,is substance that treats,
DC27,2745,,,DRUG,,,HP:0001513,,,,,,CustomRO:DC,is substance that treats,
DC28,2149,,,DRUG,,,HP:0001513,,,,,,CustomRO:DC,is substance that treats,
DC29,4810,,,DRUG,,,HP:0012539,,,,,,CustomRO:DC,is substance that treats,
DC30,4810,,,DRUG,,,HP:0012539,,,,,,CustomRO:DC,is substance that treats,
DC31,2774,,,DRUG,,,HP:0011499,,,,,,CustomRO:DC,is substance that treats,
DC32,1150,,,DRUG,,,HP:0001513,,,,,,CustomRO:DC,is substance that treats,
DC33,1947,,,DRUG,,,HP:0000822,,,,,,CustomRO:DC,is substance that treats,
DC34,5347,,,DRUG,,,HP:0001901,,,,,,CustomRO:DC,is substance that treats,
DC35,1423,,,DRUG,,,HP:0006721,,,,,,CustomRO:DC,is substance that treats,
DC36,2274,,,DRUG,,,HP:0002018,,,,,,CustomRO:DC,is substance that treats,
DC37,2424,,,DRUG,,,HP:0002018,,,,,,CustomRO:DC,is substance that treats,
DC38,1576,,,DRUG,,,HP:0001635,,,,,,CustomRO:DC,is substance that treats,
DC39,1576,,,DRUG,,,HP:0001635,,,,,,CustomRO:DC,is substance that treats,
DC40,700,,,DRUG,,,HP:0008222,,,,,,CustomRO:DC,is substance that treats,
DC41,522,,,DRUG,,,HP:0001635,,,,,,CustomRO:DC,is substance that treats,
DC42,4682,,,DRUG,,,HP:0005978,,,,,,CustomRO:DC,is substance that treats,
DC43,4682,,,DRUG,,,HP:0005978,,,,,,CustomRO:DC,is substance that treats,
DC44,832,,,DRUG,,,HP:0001513,,,,,,CustomRO:DC,is substance that treats,
DC45,4716,,,DRUG,,,HP:0006721,,,,,,CustomRO:DC,is substance that treats,
DC46,1384,,,DRUG,,,HP:0000822,,,,,,CustomRO:DC,is substance that treats,
DC47,3514,,,DRUG,,,HP:0001513,,,,,,CustomRO:DC,is substance that treats,
DC48,4119,,,DRUG,,,HP:0005584,,,,,,CustomRO:DC,is substance that treats,
DC49,926,,,DRUG,,,HP:0004308,,,,,,CustomRO:DC,is substance that treats,
DC50,926,,,DRUG,,,HP:0000020,,,,,,CustomRO:DC,is substance that treats,
DC51,5345,,,DRUG,,,HP:0003006,,,,,,CustomRO:DC,is substance that treats,
DC52,4359,,,DRUG,,,HP:0003002,,,,,,CustomRO:DC,is substance that treats,
DC53,897,,,DRUG,,,HP:0000822,,,,,,CustomRO:DC,is substance that treats,
DC54,676,,,DRUG,,,HP:0002027,,,,,,CustomRO:DC,is substance that treats,
DC55,65,,,DRUG,,,HP:0000518,,,,,,CustomRO:DC,is substance that treats,
DC56,2815,,,DRUG,,,HP:0000822,,,,,,CustomRO:DC,is substance that treats,
DC57,1821,,,DRUG,,,HP:0012539,,,,,,CustomRO:DC,is substance that treats,
DC58,1942,,,DRUG,,,HP:0000822,,,,,,CustomRO:DC,is substance that treats,
DC59,391,,,DRUG,,,HP:0012539,,,,,,CustomRO:DC,is substance that treats,
DC60,2286,,,DRUG,,,HP:0002018,,,,,,CustomRO:DC,is substance that treats,
DC61,1385,,,DRUG,,,HP:0000822,,,,,,CustomRO:DC,is substance that treats,
DC62,901,,,DRUG,,,HP:0002018,,,,,,CustomRO:DC,is substance that treats,
DC63,2459,,,DRUG,,,HP:0005584,,,,,,CustomRO:DC,is substance that treats,
DC64,2459,,,DRUG,,,HP:0001402,,,,,,CustomRO:DC,is substance that treats,
DC65,231,,,DRUG,,,HP:0011675,,,,,,CustomRO:DC,is substance that treats,
DC66,1797,,,DRUG,,,HP:0012174,,,,,,CustomRO:DC,is substance that treats,
DC67,522,,,DRUG,,,HP:0001635,,,,,,CustomRO:DC,is substance that treats,
DC68,313,,,DRUG,,,HP:0002018,,,,,,CustomRO:DC,is substance that treats,
DC69,1142,,,DRUG,,,HP:0000822,,,,,,CustomRO:DC,is substance that treats,
DC70,2630,,,DRUG,,,HP:0002018,,,,,,CustomRO:DC,is substance that treats,
DC71,318,,,DRUG,,,HP:0001997,,,,,,CustomRO:DC,is substance that treats,
DC72,1511,,,DRUG,,,HP:0000822,,,,,,CustomRO:DC,is substance that treats,
