id,subject_id,subject_label,subject_iri,subject_category,subject_taxon_id,subject_taxon_label,object_id,object_label,object_iri,object_category,object_taxon_id,object_taxon_label,relation_id,relation_label,relation_iri
20d1f939cdf44e5c8b71a847023aca87,4483,carfilzomib,,drug,,,HP:0030357,,,,,,CustomRO:DC,is substance that treats,
417b8286a80e1b9bec9097aed42e6076,1043,ergotamine,,drug,,,HP:0002315,,,,,,CustomRO:DC,is substance that treats,
37b9ac104c1a9b39a9c78f05caee86e9,812,desipramine,,drug,,,HP:0007018,,,,,,CustomRO:DC,is substance that treats,
4456343fb94a1b77e3be33edbaa0593d,4225,axitinib,,drug,,,HP:0005584,,,,,,CustomRO:DC,is substance that treats,
8fdb0f95abcdc990a6b4c4718b901e1c,4175,linagliptin,,drug,,,HP:0005978,,,,,,CustomRO:DC,is substance that treats,
bc085586cf5bf943e745c87c6c3e5833,5431,tirbanibulin,,drug,,,HP:0012125,,,,,,CustomRO:DC,is substance that treats,
eda289142f6c23b28eae71daf8793e83,1683,menadione,,drug,,,HP:0012125,,,,,,CustomRO:DC,is substance that treats,
8fdb0f95abcdc990a6b4c4718b901e1c,4175,linagliptin,,drug,,,HP:0005978,,,,,,CustomRO:DC,is substance that treats,
f3110b89120c1bdfcea2af70cb18b485,1989,omapatrilat,,drug,,,HP:0000822,,,,,,CustomRO:DC,is substance that treats,
a93e5f251c9882443d94428abaebf0a6,176,amiodarone,,drug,,,HP:0004756,,,,,,CustomRO:DC,is substance that treats,
cb502903ab8399d66705db5ebc3769f8,2815,verapamil,,drug,,,HP:0000822,,,,,,CustomRO:DC,is substance that treats,
2535604c7c5724a3fc2bb27f8a859251,1612,lovastatin,,drug,,,HP:0003124,,,,,,CustomRO:DC,is substance that treats,
454ec373986d45bdfd7959b67f971455,2561,tamoxifen,,drug,,,HP:0003002,,,,,,CustomRO:DC,is substance that treats,
d3c3590c8514fd6a107d76d3708614e9,1045,erlotinib,,drug,,,HP:0003003,,,,,,CustomRO:DC,is substance that treats,
