id,subject_id,subject_label,subject_iri,subject_category,subject_taxon_id,subject_taxon_label,object_id,object_label,object_iri,object_category,object_taxon_id,object_taxon_label,relation_id,relation_label,relation_iri
DC0,2172,,,DRUG,,,HP:0100753,,,,,,CustomRO:DC,is substance that treats,
DC1,91,,,DRUG,,,HP:0001638,,,,,,CustomRO:DC,is substance that treats,
DC2,91,,,DRUG,,,HP:0001662,,,,,,CustomRO:DC,is substance that treats,
DC3,2351,,,DRUG,,,HP:0000939,,,,,,CustomRO:DC,is substance that treats,
DC4,1990,,,DRUG,,,HP:0002020,,,,,,CustomRO:DC,is substance that treats,
DC5,621,,,DRUG,,,HP:0100753,,,,,,CustomRO:DC,is substance that treats,
DC6,725,,,DRUG,,,HP:0012735,,,,,,CustomRO:DC,is substance that treats,
DC7,578,,,DRUG,,,HP:0001824,,,,,,CustomRO:DC,is substance that treats,
DC8,1200,,,DRUG,,,HP:0002076,,,,,,CustomRO:DC,is substance that treats,
DC9,1989,,,DRUG,,,HP:0000822,,,,,,CustomRO:DC,is substance that treats,
DC10,434,,,DRUG,,,HP:0000708,,,,,,CustomRO:DC,is substance that treats,
DC11,434,,,DRUG,,,HP:0002076,,,,,,CustomRO:DC,is substance that treats,
DC12,1353,,,DRUG,,,HP:0100753,,,,,,CustomRO:DC,is substance that treats,
DC13,1762,,,DRUG,,,HP:0000822,,,,,,CustomRO:DC,is substance that treats,
DC14,2080,,,DRUG,,,HP:0100753,,,,,,CustomRO:DC,is substance that treats,
DC15,1599,,,DRUG,,,HP:0002014,,,,,,CustomRO:DC,is substance that treats,
DC16,700,,,DRUG,,,HP:0008222,,,,,,CustomRO:DC,is substance that treats,
DC17,1353,,,DRUG,,,HP:0100753,,,,,,CustomRO:DC,is substance that treats,
DC18,522,,,DRUG,,,HP:0001635,,,,,,CustomRO:DC,is substance that treats,
DC19,5382,,,DRUG,,,HP:0003124,,,,,,CustomRO:DC,is substance that treats,
DC20,918,,,DRUG,,,HP:0002014,,,,,,CustomRO:DC,is substance that treats,
DC21,2370,,,DRUG,,,HP:0000822,,,,,,CustomRO:DC,is substance that treats,
DC22,937,,,DRUG,,,HP:0001635,,,,,,CustomRO:DC,is substance that treats,
DC23,3514,,,DRUG,,,HP:0001513,,,,,,CustomRO:DC,is substance that treats,
DC24,2817,,,DRUG,,,HP:0001635,,,,,,CustomRO:DC,is substance that treats,
DC25,4778,,,DRUG,,,HP:0100242,,,,,,CustomRO:DC,is substance that treats,
DC26,2123,,,DRUG,,,HP:0000716,,,,,,CustomRO:DC,is substance that treats,
DC27,1599,,,DRUG,,,HP:0002014,,,,,,CustomRO:DC,is substance that treats,
DC28,2286,,,DRUG,,,HP:0002018,,,,,,CustomRO:DC,is substance that treats,
DC29,1574,,,DRUG,,,HP:0002140,,,,,,CustomRO:DC,is substance that treats,
DC30,2054,,,DRUG,,,HP:0002020,,,,,,CustomRO:DC,is substance that treats,
DC31,1996,,,DRUG,,,HP:0001513,,,,,,CustomRO:DC,is substance that treats,
DC32,2637,,,DRUG,,,HP:0100753,,,,,,CustomRO:DC,is substance that treats,
DC33,4392,,,DRUG,,,HP:0002669,,,,,,CustomRO:DC,is substance that treats,
DC34,621,,,DRUG,,,HP:0100753,,,,,,CustomRO:DC,is substance that treats,
DC35,522,,,DRUG,,,HP:0001635,,,,,,CustomRO:DC,is substance that treats,
DC36,1878,,,DRUG,,,HP:0002098,,,,,,CustomRO:DC,is substance that treats,
DC37,1878,,,DRUG,,,HP:0000989,,,,,,CustomRO:DC,is substance that treats,
DC38,722,,,DRUG,,,HP:0100753,,,,,,CustomRO:DC,is substance that treats,
