Edge Type,Count,Percentage
in orthology relationship with,85328,37.26%
in 1 to 1 orthology relationship with,77304,33.76%
has phenotype,27132,11.85%
interacts with,25189,11.00%
is part of,6051,2.64%
expressed in,3112,1.36%
enables,1649,0.72%
contributes to condition,1360,0.59%
colocalizes with,636,0.28%
involved in,355,0.16%
targets,305,0.13%
has role in modeling,290,0.13%
has affected feature,55,0.02%
is substance that treats,39,0.02%
is allele of,14,0.01%
has genotype,9,0.00%
pathogenic for condition,6,0.00%
causes condition,3,0.00%
contributes to,2,0.00%
is causal germline mutation partially giving rise to,1,0.00%
is causal germline mutation in,1,0.00%
