subject,relation,object
GENE,causes condition,DISO
ORTH,colocalizes with,ORTH
GENE,colocalizes with,ORTH
ORTH,colocalizes with,GENE
GENE,colocalizes with,GENE
GENE,contributes to,DISO
ORTH,contributes to condition,DISO
GENO,contributes to condition,DISO
GENO,contributes to condition,GENO
GENE,contributes to condition,GENO
GENE,contributes to condition,DISO
ORTH,enables,PHYS
GENE,enables,PHYS
GENO,enables,PHYS
GENE,expressed in,ANAT
ORTH,expressed in,ANAT
GENO,has affected feature,ORTH
VARI,has affected feature,GENE
ORTH,has affected feature,ORTH
GENO,has affected feature,GENE
GENO,has genotype,GENO
DISO,has phenotype,DISO
ORTH,has phenotype,GENO
GENO,has phenotype,DISO
GENE,has phenotype,DISO
ORTH,has phenotype,DISO
ORTH,has role in modeling,DISO
GENO,has role in modeling,DISO
GENE,in 1 to 1 orthology relationship with,GENE
GENO,in 1 to 1 orthology relationship with,ORTH
GENE,in 1 to 1 orthology relationship with,GENO
ORTH,in 1 to 1 orthology relationship with,GENO
ORTH,in 1 to 1 orthology relationship with,GENE
GENE,in 1 to 1 orthology relationship with,ORTH
GENO,in 1 to 1 orthology relationship with,GENE
ORTH,in 1 to 1 orthology relationship with,ORTH
GENE,in orthology relationship with,ORTH
ORTH,in orthology relationship with,ORTH
GENO,in orthology relationship with,GENE
GENE,in orthology relationship with,GENO
ORTH,in orthology relationship with,GENO
GENE,in orthology relationship with,GENE
GENO,in orthology relationship with,ORTH
ORTH,in orthology relationship with,GENE
ORTH,interacts with,ORTH
GENE,interacts with,ORTH
GENE,interacts with,GENE
ORTH,interacts with,GENE
DISO,involved in,PHYS
ORTH,involved in,PHYS
GENE,involved in,PHYS
GENO,involved in,PHYS
ORTH,is allele of,ORTH
DISO,is allele of,GENE
GENE,is causal germline mutation in,DISO
GENE,is causal germline mutation partially giving rise to,DISO
GENO,is part of,PHYS
ORTH,is part of,PHYS
GENE,is part of,PHYS
DRUG,is substance that treats,DISO
ORTH,nan,ORTH
ORTH,nan,GENE
VARI,pathogenic for condition,DISO
DRUG,targets,GENE
DRUG,targets,ORTH
