id,subject_id,subject_label,subject_iri,subject_category,subject_taxon_id,subject_taxon_label,object_id,object_label,object_iri,object_category,object_taxon_id,object_taxon_label,relation_id,relation_label,relation_iri
TTD0,90,adenosine,,DRUG,,,HGNC:4141,,,,,,CustomRO:TTD,targets,
TTD1,91,adenosine triphosphate,,DRUG,,,HGNC:5241,,,,,,CustomRO:TTD,targets,
TTD2,91,adenosine triphosphate,,DRUG,,,HGNC:5232,,,,,,CustomRO:TTD,targets,
TTD3,114,alfentanil,,DRUG,,,HGNC:8156,,,,,,CustomRO:TTD,targets,
TTD4,143,alvimopan,,DRUG,,,HGNC:8156,,,,,,CustomRO:TTD,targets,
TTD5,176,amiodarone,,DRUG,,,HGNC:8156,,,,,,CustomRO:TTD,targets,
TTD6,186,amodiaquine,,DRUG,,,HGNC:620,,,,,,CustomRO:TTD,targets,
TTD7,220,anileridine,,DRUG,,,HGNC:8156,,,,,,CustomRO:TTD,targets,
TTD8,249,astemizole,,DRUG,,,HGNC:8156,,,,,,CustomRO:TTD,targets,
TTD9,249,astemizole,,DRUG,,,HGNC:3236,,,,,,CustomRO:TTD,targets,
TTD10,281,bacitracin,,DRUG,,,HGNC:3236,,,,,,CustomRO:TTD,targets,
TTD11,391,bortezomib,,DRUG,,,HGNC:9554,,,,,,CustomRO:TTD,targets,
TTD12,391,bortezomib,,DRUG,,,HGNC:9251,,,,,,CustomRO:TTD,targets,
TTD13,391,bortezomib,,DRUG,,,HGNC:9537,,,,,,CustomRO:TTD,targets,
TTD14,391,bortezomib,,DRUG,,,HGNC:9539,,,,,,CustomRO:TTD,targets,
TTD15,434,buprenorphine,,DRUG,,,HGNC:8156,,,,,,CustomRO:TTD,targets,
TTD16,454,butorphanol,,DRUG,,,HGNC:8156,,,,,,CustomRO:TTD,targets,
TTD17,475,candesartan cilexetil,,DRUG,,,HGNC:3236,,,,,,CustomRO:TTD,targets,
TTD18,511,carmofur,,DRUG,,,HGNC:6877,,,,,,CustomRO:TTD,targets,
TTD19,522,carvedilol,,DRUG,,,HGNC:620,,,,,,CustomRO:TTD,targets,
TTD20,575,cefapirin,,DRUG,,,HGNC:8156,,,,,,CustomRO:TTD,targets,
TTD21,578,cerulenin,,DRUG,,,HGNC:3594,,,,,,CustomRO:TTD,targets,
TTD22,607,chloroquine,,DRUG,,,HGNC:620,,,,,,CustomRO:TTD,targets,
TTD23,621,chlorpromazine,,DRUG,,,HGNC:8156,,,,,,CustomRO:TTD,targets,
TTD24,621,chlorpromazine,,DRUG,,,HGNC:3236,,,,,,CustomRO:TTD,targets,
TTD25,629,cianidanol,,DRUG,,,HGNC:620,,,,,,CustomRO:TTD,targets,
TTD27,654,cinnarizine,,DRUG,,,HGNC:8156,,,,,,CustomRO:TTD,targets,
TTD28,681,clioquinol,,DRUG,,,HGNC:620,,,,,,CustomRO:TTD,targets,
TTD29,700,clomifene,,DRUG,,,HGNC:3236,,,,,,CustomRO:TTD,targets,
TTD30,719,clotrimazole,,DRUG,,,HGNC:8156,,,,,,CustomRO:TTD,targets,
TTD31,719,clotrimazole,,DRUG,,,HGNC:3236,,,,,,CustomRO:TTD,targets,
TTD32,719,clotrimazole,,DRUG,,,HGNC:12666,,,,,,CustomRO:TTD,targets,
TTD34,722,clozapine,,DRUG,,,HGNC:1442,,,,,,CustomRO:TTD,targets,
TTD35,725,codeine,,DRUG,,,HGNC:8156,,,,,,CustomRO:TTD,targets,
TTD36,726,colchicine,,DRUG,,,HGNC:20778,,,,,,CustomRO:TTD,targets,
TTD37,759,cycloserine,,DRUG,,,HGNC:4586,,,,,,CustomRO:TTD,targets,
TTD38,759,cycloserine,,DRUG,,,HGNC:4584,,,,,,CustomRO:TTD,targets,
TTD39,766,cyproterone acetate,,DRUG,,,HGNC:8156,,,,,,CustomRO:TTD,targets,
TTD40,774,dactinomycin,,DRUG,,,HGNC:4566,,,,,,CustomRO:TTD,targets,
TTD41,774,dactinomycin,,DRUG,,,MGI:95805,,,,,,CustomRO:TTD,targets,
TTD42,779,danazol,,DRUG,,,HGNC:8156,,,,,,CustomRO:TTD,targets,
TTD43,785,dasatinib,,DRUG,,,HGNC:3236,,,,,,CustomRO:TTD,targets,
TTD44,785,dasatinib,,DRUG,,,HGNC:3942,,,,,,CustomRO:TTD,targets,
TTD45,785,dasatinib,,DRUG,,,HGNC:29858,,,,,,CustomRO:TTD,targets,
TTD46,844,dextropropoxyphene,,DRUG,,,HGNC:8156,,,,,,CustomRO:TTD,targets,
TTD47,847,dezocine,,DRUG,,,HGNC:8156,,,,,,CustomRO:TTD,targets,
TTD48,849,diacerein,,DRUG,,,HGNC:1504,,,,,,CustomRO:TTD,targets,
TTD49,875,diethylstilbestrol,,DRUG,,,HGNC:8156,,,,,,CustomRO:TTD,targets,
TTD50,878,difenoxin,,DRUG,,,HGNC:8156,,,,,,CustomRO:TTD,targets,
TTD51,885,alpha-Ergocryptine,,DRUG,,,HGNC:8156,,,,,,CustomRO:TTD,targets,
TTD52,886,dihydrocodeine,,DRUG,,,HGNC:8156,,,,,,CustomRO:TTD,targets,
TTD53,887,dihydroergocristine,,DRUG,,,HGNC:8156,,,,,,CustomRO:TTD,targets,
TTD54,918,diphenoxylate,,DRUG,,,HGNC:8156,,,,,,CustomRO:TTD,targets,
TTD55,928,disulfiram,,DRUG,,,HGNC:8156,,,,,,CustomRO:TTD,targets,
TTD56,928,disulfiram,,DRUG,,,HGNC:6877,,,,,,CustomRO:TTD,targets,
TTD57,937,dobutamine,,DRUG,,,HGNC:3236,,,,,,CustomRO:TTD,targets,
TTD58,939,docetaxel,,DRUG,,,HGNC:3236,,,,,,CustomRO:TTD,targets,
TTD59,945,domperidone,,DRUG,,,HGNC:8156,,,,,,CustomRO:TTD,targets,
TTD60,977,ebastine,,DRUG,,,HGNC:3236,,,,,,CustomRO:TTD,targets,
TTD61,983,econazole,,DRUG,,,HGNC:8156,,,,,,CustomRO:TTD,targets,
TTD62,983,econazole,,DRUG,,,HGNC:3236,,,,,,CustomRO:TTD,targets,
TTD63,983,econazole,,DRUG,,,HGNC:7957,,,,,,CustomRO:TTD,targets,
TTD64,987,edetic acid,,DRUG,,,HGNC:620,,,,,,CustomRO:TTD,targets,
TTD65,1045,erlotinib,,DRUG,,,HGNC:3236,,,,,,CustomRO:TTD,targets,
TTD66,1082,ethinylestradiol,,DRUG,,,HGNC:8156,,,,,,CustomRO:TTD,targets,
TTD67,1118,everolimus,,DRUG,,,HGNC:3942,,,,,,CustomRO:TTD,targets,
TTD68,1129,famotidine,,DRUG,,,HGNC:5253,,,,,,CustomRO:TTD,targets,
TTD69,1140,felbamate,,DRUG,,,HGNC:4586,,,,,,CustomRO:TTD,targets,
TTD70,1164,fentanyl,,DRUG,,,HGNC:8156,,,,,,CustomRO:TTD,targets,
TTD71,1164,fentanyl,,DRUG,,,MGI:97441,,,,,,CustomRO:TTD,targets,
TTD72,1200,flunarizine,,DRUG,,,HGNC:8156,,,,,,CustomRO:TTD,targets,
TTD73,1212,fluphenazine,,DRUG,,,HGNC:8156,,,,,,CustomRO:TTD,targets,
TTD74,1212,fluphenazine,,DRUG,,,HGNC:3236,,,,,,CustomRO:TTD,targets,
TTD75,1239,formoterol,,DRUG,,,HGNC:5253,,,,,,CustomRO:TTD,targets,
