id,subject_id,subject_label,subject_iri,subject_category,subject_taxon_id,subject_taxon_label,object_id,object_label,object_iri,object_category,object_taxon_id,object_taxon_label,relation_id,relation_label,relation_iri
dc507f02e6af69eba082b4d1574d8950,2172,pimozide,,drug,,,HP:0100753,,,,,,CustomRO:DC,is substance that treats,
236d02cc2821a7a25226c07b213bdbfe,91,adenosine triphosphate,,drug,,,HP:0001638,,,,,,CustomRO:DC,is substance that treats,
cf4c9a7882879939e9c6061530d1fadc,91,adenosine triphosphate,,drug,,,HP:0001662,,,,,,CustomRO:DC,is substance that treats,
8f4b4d3bc341d05b3cf7197bee0a0549,2351,raloxifene,,drug,,,HP:0000939,,,,,,CustomRO:DC,is substance that treats,
6019eef687c9f990f113e3451382f357,1990,omeprazole,,drug,,,HP:0002020,,,,,,CustomRO:DC,is substance that treats,
196fe0d76a39acb88952914654d01c75,621,chlorpromazine,,drug,,,HP:0100753,,,,,,CustomRO:DC,is substance that treats,
798bddf6bd421ac3a9b41719e0f58247,725,codeine,,drug,,,HP:0012735,,,,,,CustomRO:DC,is substance that treats,
8fd934e53d6b4a16478967c1ab46c4ed,578,cerulenin,,drug,,,HP:0001824,,,,,,CustomRO:DC,is substance that treats,
bc1ca061e026ba63ff82fe6270865158,1200,flunarizine,,drug,,,HP:0002076,,,,,,CustomRO:DC,is substance that treats,
f3110b89120c1bdfcea2af70cb18b485,1989,omapatrilat,,drug,,,HP:0000822,,,,,,CustomRO:DC,is substance that treats,
3c84754c2d4007fe38d34375f44a4aee,434,buprenorphine,,drug,,,HP:0000708,,,,,,CustomRO:DC,is substance that treats,
bc283bb65e686b30d37017d6308420ac,434,buprenorphine,,drug,,,HP:0002076,,,,,,CustomRO:DC,is substance that treats,
7f3ca02efcf48097ae1bba5033634adc,1353,haloperidol,,drug,,,HP:0100753,,,,,,CustomRO:DC,is substance that treats,
babb18c5f2f6e3be99dde56fbc48714f,1762,methyldopa,,drug,,,HP:0000822,,,,,,CustomRO:DC,is substance that treats,
dc0c43359d68e7af9095e9b3c1352e27,2080,penfluridol,,drug,,,HP:0100753,,,,,,CustomRO:DC,is substance that treats,
ae7b5f5411d31563fc6935e3bf1b1bfc,1599,loperamide,,drug,,,HP:0002014,,,,,,CustomRO:DC,is substance that treats,
0d24019e6e999826e14d51c57c90b9f6,700,clomifene,,drug,,,HP:0008222,,,,,,CustomRO:DC,is substance that treats,
7f3ca02efcf48097ae1bba5033634adc,1353,haloperidol,,drug,,,HP:0100753,,,,,,CustomRO:DC,is substance that treats,
7003e2adb2ce8a0e2bafe84b6c5beb5f,522,carvedilol,,drug,,,HP:0001635,,,,,,CustomRO:DC,is substance that treats,
ad1a69a0cd44ed13e4801fc186f2f61a,5382,bempedoic acid,,drug,,,HP:0003124,,,,,,CustomRO:DC,is substance that treats,
c35fe7a4d1c50310b667b6aab4ca0031,918,diphenoxylate,,drug,,,HP:0002014,,,,,,CustomRO:DC,is substance that treats,
fa9c97bee403a82e9b3a12fd66f1624f,2370,reserpine,,drug,,,HP:0000822,,,,,,CustomRO:DC,is substance that treats,
4e4d7be262e44d980138bc50af341be5,937,dobutamine,,drug,,,HP:0001635,,,,,,CustomRO:DC,is substance that treats,
491e4c02493459f9601228556196028b,3514,quercetin,,drug,,,HP:0001513,,,,,,CustomRO:DC,is substance that treats,
a34fc344692726a0d10aa62df0d15b68,2817,vesnarinone,,drug,,,HP:0001635,,,,,,CustomRO:DC,is substance that treats,
f32493ec682d5f7c047293a92f80cb2a,4778,ridaforolimus,,drug,,,HP:0100242,,,,,,CustomRO:DC,is substance that treats,
62b1edcaab85769f99eedb93fb107ac4,2123,phenelzine,,drug,,,HP:0000716,,,,,,CustomRO:DC,is substance that treats,
ae7b5f5411d31563fc6935e3bf1b1bfc,1599,loperamide,,drug,,,HP:0002014,,,,,,CustomRO:DC,is substance that treats,
c22ac3ca550a027c8d7766e6acb89ba6,2286,promethazine,,drug,,,HP:0002018,,,,,,CustomRO:DC,is substance that treats,
688239d20aa56be9c9729744952ab36a,1574,levorphanol,,drug,,,HP:0002140,,,,,,CustomRO:DC,is substance that treats,
4fb79db29baf7dd57cbd3bc5b145a5d3,2054,pantoprazole,,drug,,,HP:0002020,,,,,,CustomRO:DC,is substance that treats,
fae7172ecd653c0973f14baa0d30c16d,1996,orlistat,,drug,,,HP:0001513,,,,,,CustomRO:DC,is substance that treats,
a7214557c995b3cfe7b6e08a46e4eca9,2637,thioridazine,,drug,,,HP:0100753,,,,,,CustomRO:DC,is substance that treats,
6150d04cd69b55b5fee34d1d6e36d437,4392,cisplatin,,drug,,,HP:0002669,,,,,,CustomRO:DC,is substance that treats,
196fe0d76a39acb88952914654d01c75,621,chlorpromazine,,drug,,,HP:0100753,,,,,,CustomRO:DC,is substance that treats,
7003e2adb2ce8a0e2bafe84b6c5beb5f,522,carvedilol,,drug,,,HP:0001635,,,,,,CustomRO:DC,is substance that treats,
5b4cb1862ff982aa402f63da630627b0,1878,naloxone,,drug,,,HP:0002098,,,,,,CustomRO:DC,is substance that treats,
5b46d3c5fde052be4ae641765d1bf4b7,1878,naloxone,,drug,,,HP:0000989,,,,,,CustomRO:DC,is substance that treats,
8a4e0681ad472e778fd730973b63cf90,722,clozapine,,drug,,,HP:0100753,,,,,,CustomRO:DC,is substance that treats,
