Edge Type,Count,Percentage
in orthology relationship with,162626,70.64%
causes condition,26958,11.71%
interacts with,25189,10.94%
enables,8046,3.49%
found in,4136,1.80%
contributes to condition,1363,0.59%
colocalizes with,636,0.28%
targets,305,0.13%
has role in modeling,290,0.13%
associated with phenotype,184,0.08%
is of,173,0.08%
expresses gene,104,0.05%
has affected feature,55,0.02%
is variant in,49,0.02%
is product of,44,0.02%
is substance that treats,35,0.02%
is allele of,13,0.01%
has genotype,13,0.01%
involved in,9,0.00%
