id,subject_id,subject_label,subject_iri,subject_category,subject_taxon_id,subject_taxon_label,object_id,object_label,object_iri,object_category,object_taxon_id,object_taxon_label,relation_id,relation_label,relation_iri
DC0,1932,,,DRUG,,,HP:0005506,,,,,,CustomRO:DC,is substance that treats,
DC1,1879,,,DRUG,,,HP:0000939,,,,,,CustomRO:DC,is substance that treats,
DC2,542,,,DRUG,,,HP:0100658,,,,,,CustomRO:DC,is substance that treats,
DC3,574,,,DRUG,,,HP:0100658,,,,,,CustomRO:DC,is substance that treats,
DC4,2351,,,DRUG,,,HP:0000939,,,,,,CustomRO:DC,is substance that treats,
DC5,4138,,,DRUG,,,HP:0100658,,,,,,CustomRO:DC,is substance that treats,
DC6,576,,,DRUG,,,HP:0100658,,,,,,CustomRO:DC,is substance that treats,
DC7,2607,,,DRUG,,,HP:0000939,,,,,,CustomRO:DC,is substance that treats,
DC8,4977,,,DRUG,,,HP:0001903,,,,,,CustomRO:DC,is substance that treats,
DC9,960,,,DRUG,,,HP:0002664,,,,,,CustomRO:DC,is substance that treats,
DC10,547,,,DRUG,,,HP:0100658,,,,,,CustomRO:DC,is substance that treats,
DC11,1423,,,DRUG,,,HP:0005506,,,,,,CustomRO:DC,is substance that treats,
DC12,1762,,,DRUG,,,HP:0000822,,,,,,CustomRO:DC,is substance that treats,
DC13,700,,,DRUG,,,HP:0008222,,,,,,CustomRO:DC,is substance that treats,
DC14,1610,,,DRUG,,,HP:0000822,,,,,,CustomRO:DC,is substance that treats,
DC15,785,,,DRUG,,,HP:0005506,,,,,,CustomRO:DC,is substance that treats,
DC16,111,,,DRUG,,,HP:0000822,,,,,,CustomRO:DC,is substance that treats,
DC17,785,,,DRUG,,,HP:0005506,,,,,,CustomRO:DC,is substance that treats,
DC18,937,,,DRUG,,,HP:0001635,,,,,,CustomRO:DC,is substance that treats,
DC19,3514,,,DRUG,,,HP:0001513,,,,,,CustomRO:DC,is substance that treats,
DC20,1423,,,DRUG,,,HP:0005506,,,,,,CustomRO:DC,is substance that treats,
DC21,1388,,,DRUG,,,HP:0004386,,,,,,CustomRO:DC,is substance that treats,
DC22,281,,,DRUG,,,HP:0100658,,,,,,CustomRO:DC,is substance that treats,
DC23,1610,,,DRUG,,,HP:0000822,,,,,,CustomRO:DC,is substance that treats,
DC24,2666,,,DRUG,,,HP:0000939,,,,,,CustomRO:DC,is substance that treats,
DC25,597,,,DRUG,,,HP:0100658,,,,,,CustomRO:DC,is substance that treats,
DC26,4209,,,DRUG,,,HP:0001635,,,,,,CustomRO:DC,is substance that treats,
DC27,4209,,,DRUG,,,HP:0000822,,,,,,CustomRO:DC,is substance that treats,
DC28,1364,,,DRUG,,,HP:0100658,,,,,,CustomRO:DC,is substance that treats,
