id,subject_id,subject_label,subject_iri,subject_category,subject_taxon_id,subject_taxon_label,object_id,object_label,object_iri,object_category,object_taxon_id,object_taxon_label,relation_id,relation_label,relation_iri
TTD0,80,aclarubicin,,DRUG,,,HGNC:7166,,,,,,CustomRO:TTD,targets,
TTD1,111,aldosterone,,DRUG,,,HGNC:10839,,,,,,CustomRO:TTD,targets,
TTD2,174,aminoquinuride,,DRUG,,,HGNC:7176,,,,,,CustomRO:TTD,targets,
TTD3,214,androstenediol,,DRUG,,,HGNC:10839,,,,,,CustomRO:TTD,targets,
TTD4,215,androstenedione,,DRUG,,,HGNC:10839,,,,,,CustomRO:TTD,targets,
TTD5,249,astemizole,,DRUG,,,HGNC:3236,,,,,,CustomRO:TTD,targets,
TTD6,281,bacitracin,,DRUG,,,HGNC:3236,,,,,,CustomRO:TTD,targets,
TTD7,294,beclometasone dipropionate,,DRUG,,,HGNC:7176,,,,,,CustomRO:TTD,targets,
TTD8,419,budesonide,,DRUG,,,HGNC:7176,,,,,,CustomRO:TTD,targets,
TTD9,438,busulfan,,DRUG,,,HGNC:7176,,,,,,CustomRO:TTD,targets,
TTD10,475,candesartan cilexetil,,DRUG,,,HGNC:3236,,,,,,CustomRO:TTD,targets,
TTD11,542,cefonicid,,DRUG,,,HGNC:7176,,,,,,CustomRO:TTD,targets,
TTD12,547,cefotetan,,DRUG,,,HGNC:7166,,,,,,CustomRO:TTD,targets,
TTD13,547,cefotetan,,DRUG,,,HGNC:2228,,,,,,CustomRO:TTD,targets,
TTD14,547,cefotetan,,DRUG,,,HGNC:7176,,,,,,CustomRO:TTD,targets,
TTD15,548,cefotiam,,DRUG,,,HGNC:7176,,,,,,CustomRO:TTD,targets,
TTD16,565,cefuroxime,,DRUG,,,HGNC:7166,,,,,,CustomRO:TTD,targets,
TTD17,565,cefuroxime,,DRUG,,,HGNC:7176,,,,,,CustomRO:TTD,targets,
TTD18,574,cefalotin,,DRUG,,,HGNC:7176,,,,,,CustomRO:TTD,targets,
TTD19,576,cefradine,,DRUG,,,HGNC:7176,,,,,,CustomRO:TTD,targets,
TTD20,597,chlorhexidine,,DRUG,,,HGNC:7166,,,,,,CustomRO:TTD,targets,
TTD21,597,chlorhexidine,,DRUG,,,HGNC:7176,,,,,,CustomRO:TTD,targets,
TTD22,606,chloropyramine,,DRUG,,,HGNC:9611,,,,,,CustomRO:TTD,targets,
TTD23,621,chlorpromazine,,DRUG,,,HGNC:3236,,,,,,CustomRO:TTD,targets,
TTD24,700,clomifene,,DRUG,,,HGNC:3236,,,,,,CustomRO:TTD,targets,
TTD25,719,clotrimazole,,DRUG,,,HGNC:3236,,,,,,CustomRO:TTD,targets,
TTD26,734,cortisone acetate,,DRUG,,,HGNC:10839,,,,,,CustomRO:TTD,targets,
TTD27,760,ciclosporin,,DRUG,,,HGNC:9255,,,,,,CustomRO:TTD,targets,
TTD28,773,dacarbazine,,DRUG,,,HGNC:7176,,,,,,CustomRO:TTD,targets,
TTD29,779,danazol,,DRUG,,,HGNC:10839,,,,,,CustomRO:TTD,targets,
TTD30,785,dasatinib,,DRUG,,,HGNC:8804,,,,,,CustomRO:TTD,targets,
TTD31,785,dasatinib,,DRUG,,,HGNC:3236,,,,,,CustomRO:TTD,targets,
TTD32,786,daunorubicin,,DRUG,,,HGNC:7166,,,,,,CustomRO:TTD,targets,
TTD33,795,prasterone,,DRUG,,,HGNC:10839,,,,,,CustomRO:TTD,targets,
TTD34,818,desogestrel,,DRUG,,,HGNC:10839,,,,,,CustomRO:TTD,targets,
TTD35,820,desoxycortone,,DRUG,,,HGNC:10839,,,,,,CustomRO:TTD,targets,
TTD36,824,dexamethasone,,DRUG,,,HGNC:6014,,,,,,CustomRO:TTD,targets,
TTD37,928,disulfiram,,DRUG,,,HGNC:6664,,,,,,CustomRO:TTD,targets,
TTD38,937,dobutamine,,DRUG,,,HGNC:3236,,,,,,CustomRO:TTD,targets,
TTD39,937,dobutamine,,DRUG,,,HGNC:2228,,,,,,CustomRO:TTD,targets,
TTD40,939,docetaxel,,DRUG,,,HGNC:3236,,,,,,CustomRO:TTD,targets,
TTD41,960,doxorubicin,,DRUG,,,HGNC:7166,,,,,,CustomRO:TTD,targets,
TTD42,961,doxycycline,,DRUG,,,HGNC:7166,,,,,,CustomRO:TTD,targets,
TTD43,977,ebastine,,DRUG,,,HGNC:3236,,,,,,CustomRO:TTD,targets,
TTD44,983,econazole,,DRUG,,,HGNC:3236,,,,,,CustomRO:TTD,targets,
TTD45,983,econazole,,DRUG,,,HGNC:7176,,,,,,CustomRO:TTD,targets,
TTD46,1018,entacapone,,DRUG,,,HGNC:2228,,,,,,CustomRO:TTD,targets,
TTD47,1045,erlotinib,,DRUG,,,HGNC:8804,,,,,,CustomRO:TTD,targets,
TTD48,1045,erlotinib,,DRUG,,,HGNC:3236,,,,,,CustomRO:TTD,targets,
TTD49,1045,erlotinib,,DRUG,,,HGNC:3767,,,,,,CustomRO:TTD,targets,
TTD50,1045,erlotinib,,DRUG,,,HGNC:9611,,,,,,CustomRO:TTD,targets,
TTD51,1057,estradiol,,DRUG,,,HGNC:10839,,,,,,CustomRO:TTD,targets,
TTD52,1058,estradiol benzoate,,DRUG,,,HGNC:10839,,,,,,CustomRO:TTD,targets,
TTD53,1067,estriol succinate,,DRUG,,,HGNC:10839,,,,,,CustomRO:TTD,targets,
TTD54,1082,ethinylestradiol,,DRUG,,,HGNC:10839,,,,,,CustomRO:TTD,targets,
TTD55,1084,ethisterone,,DRUG,,,HGNC:10839,,,,,,CustomRO:TTD,targets,
TTD56,1110,etonogestrel,,DRUG,,,HGNC:10839,,,,,,CustomRO:TTD,targets,
TTD57,1180,flopropione,,DRUG,,,HGNC:2228,,,,,,CustomRO:TTD,targets,
TTD58,1183,floxacillin,,DRUG,,,HGNC:7176,,,,,,CustomRO:TTD,targets,
TTD59,1212,fluphenazine,,DRUG,,,HGNC:3236,,,,,,CustomRO:TTD,targets,
TTD60,1282,gefitinib,,DRUG,,,HGNC:3236,,,,,,CustomRO:TTD,targets,
TTD61,1292,gestrinone,,DRUG,,,HGNC:10839,,,,,,CustomRO:TTD,targets,
TTD62,1364,hexachlorophene,,DRUG,,,HGNC:3236,,,,,,CustomRO:TTD,targets,
TTD63,1388,hydrocortisone,,DRUG,,,HGNC:10839,,,,,,CustomRO:TTD,targets,
TTD64,1423,imatinib,,DRUG,,,HGNC:8804,,,,,,CustomRO:TTD,targets,
TTD65,1423,imatinib,,DRUG,,,HGNC:3236,,,,,,CustomRO:TTD,targets,
TTD66,1457,diiodohydroxyquinoline,,DRUG,,,HGNC:3236,,,,,,CustomRO:TTD,targets,
TTD67,1548,lapatinib,,DRUG,,,HGNC:8804,,,,,,CustomRO:TTD,targets,
TTD68,1548,lapatinib,,DRUG,,,HGNC:3236,,,,,,CustomRO:TTD,targets,
TTD69,1567,levodopa,,DRUG,,,HGNC:3236,,,,,,CustomRO:TTD,targets,
TTD70,1572,levonorgestrel,,DRUG,,,HGNC:10839,,,,,,CustomRO:TTD,targets,
TTD71,1610,losartan,,DRUG,,,HGNC:14388,,,,,,CustomRO:TTD,targets,
TTD72,1659,medroxyprogesterone,,DRUG,,,HGNC:10839,,,,,,CustomRO:TTD,targets,
TTD73,1762,methyldopa,,DRUG,,,HGNC:3236,,,,,,CustomRO:TTD,targets,
TTD74,1800,miconazole,,DRUG,,,HGNC:3236,,,,,,CustomRO:TTD,targets,
TTD75,1821,mitoxantrone,,DRUG,,,HGNC:3236,,,,,,CustomRO:TTD,targets,
TTD76,1836,montelukast,,DRUG,,,HGNC:3236,,,,,,CustomRO:TTD,targets,
TTD77,1879,nandrolone,,DRUG,,,HGNC:10839,,,,,,CustomRO:TTD,targets,
TTD78,1881,nandrolone decanoate,,DRUG,,,HGNC:10839,,,,,,CustomRO:TTD,targets,
TTD79,1893,nelfinavir,,DRUG,,,HGNC:3236,,,,,,CustomRO:TTD,targets,
TTD80,1912,niclosamide,,DRUG,,,HGNC:3236,,,,,,CustomRO:TTD,targets,
TTD81,1932,nilotinib,,DRUG,,,HGNC:8804,,,,,,CustomRO:TTD,targets,
TTD82,1962,norethisterone,,DRUG,,,HGNC:10839,,,,,,CustomRO:TTD,targets,
TTD83,1963,norethindrone acetate,,DRUG,,,HGNC:10839,,,,,,CustomRO:TTD,targets,
TTD84,2106,perhexiline,,DRUG,,,HGNC:3236,,,,,,CustomRO:TTD,targets,
TTD85,2245,prednisolone,,DRUG,,,HGNC:6018,,,,,,CustomRO:TTD,targets,
TTD86,2251,prednisolone tebutate,,DRUG,,,HGNC:6018,,,,,,CustomRO:TTD,targets,
TTD87,2256,pregnenolone succinate,,DRUG,,,HGNC:10839,,,,,,CustomRO:TTD,targets,
TTD88,2279,progesterone,,DRUG,,,HGNC:10839,,,,,,CustomRO:TTD,targets,
TTD89,2351,raloxifene,,DRUG,,,HGNC:6018,,,,,,CustomRO:TTD,targets,
TTD90,2428,secobarbital,,DRUG,,,HGNC:7176,,,,,,CustomRO:TTD,targets,
TTD91,2459,sorafenib,,DRUG,,,HGNC:8804,,,,,,CustomRO:TTD,targets,
TTD92,2459,sorafenib,,DRUG,,,HGNC:3236,,,,,,CustomRO:TTD,targets,
TTD93,2459,sorafenib,,DRUG,,,HGNC:3767,,,,,,CustomRO:TTD,targets,
TTD94,2459,sorafenib,,DRUG,,,MGI:95561,,,,,,CustomRO:TTD,targets,
TTD95,2459,sorafenib,,DRUG,,,MGI:97531,,,,,,CustomRO:TTD,targets,
