id,subject_id,subject_label,subject_iri,subject_category,subject_taxon_id,subject_taxon_label,object_id,object_label,object_iri,object_category,object_taxon_id,object_taxon_label,relation_id,relation_label,relation_iri
54b55020deb5357e43f837e6a4ad7ee5,1932,nilotinib,,drug,,,HP:0005506,,,,,,CustomRO:DC,is substance that treats,
96919ad50e19ca0ea6cf226287f62370,1879,nandrolone,,drug,,,HP:0000939,,,,,,CustomRO:DC,is substance that treats,
de7b11473db723c3e7fe2956223f054d,542,cefonicid,,drug,,,HP:0100658,,,,,,CustomRO:DC,is substance that treats,
32079a218b28c7414cf3b15ad8a90914,574,cefalotin,,drug,,,HP:0100658,,,,,,CustomRO:DC,is substance that treats,
8f4b4d3bc341d05b3cf7197bee0a0549,2351,raloxifene,,drug,,,HP:0000939,,,,,,CustomRO:DC,is substance that treats,
37536419255ec067ce616a33d7e30577,4138,gentian violet,,drug,,,HP:0100658,,,,,,CustomRO:DC,is substance that treats,
afd349b21bfd9c9c9a4f1c8a14569b4e,576,cefradine,,drug,,,HP:0100658,,,,,,CustomRO:DC,is substance that treats,
5445b104065fd5570470cda55c9f2406,2607,testosterone,,drug,,,HP:0000939,,,,,,CustomRO:DC,is substance that treats,
ebd3965c583c1a6264a82a68151059c4,4977,siltuximab,,drug,,,HP:0001903,,,,,,CustomRO:DC,is substance that treats,
5194bca616d9b49d63a0d862cd921c29,960,doxorubicin,,drug,,,HP:0002664,,,,,,CustomRO:DC,is substance that treats,
7a44b8ca3c7d077cfc293d39d2af3360,547,cefotetan,,drug,,,HP:0100658,,,,,,CustomRO:DC,is substance that treats,
a4cc880aa04120f11c830721470e7eac,1423,imatinib,,drug,,,HP:0005506,,,,,,CustomRO:DC,is substance that treats,
babb18c5f2f6e3be99dde56fbc48714f,1762,methyldopa,,drug,,,HP:0000822,,,,,,CustomRO:DC,is substance that treats,
0d24019e6e999826e14d51c57c90b9f6,700,clomifene,,drug,,,HP:0008222,,,,,,CustomRO:DC,is substance that treats,
9939ed3da70f72c28e9e38a1f9d0365d,1610,losartan,,drug,,,HP:0000822,,,,,,CustomRO:DC,is substance that treats,
649d29022c8fff620e01ae9ff20b2125,785,dasatinib,,drug,,,HP:0005506,,,,,,CustomRO:DC,is substance that treats,
864fca17bd9a1478df616342d129eefc,111,aldosterone,,drug,,,HP:0000822,,,,,,CustomRO:DC,is substance that treats,
649d29022c8fff620e01ae9ff20b2125,785,dasatinib,,drug,,,HP:0005506,,,,,,CustomRO:DC,is substance that treats,
4e4d7be262e44d980138bc50af341be5,937,dobutamine,,drug,,,HP:0001635,,,,,,CustomRO:DC,is substance that treats,
491e4c02493459f9601228556196028b,3514,quercetin,,drug,,,HP:0001513,,,,,,CustomRO:DC,is substance that treats,
a4cc880aa04120f11c830721470e7eac,1423,imatinib,,drug,,,HP:0005506,,,,,,CustomRO:DC,is substance that treats,
22e8d9b60d9aa2ecc24da67a7ae67662,1388,hydrocortisone,,drug,,,HP:0004386,,,,,,CustomRO:DC,is substance that treats,
d3ff1396a3ab341fa9726ceef10b3577,281,bacitracin,,drug,,,HP:0100658,,,,,,CustomRO:DC,is substance that treats,
9939ed3da70f72c28e9e38a1f9d0365d,1610,losartan,,drug,,,HP:0000822,,,,,,CustomRO:DC,is substance that treats,
9bf0e08a234da79a2db6df77bc064fad,2666,tiludronic acid,,drug,,,HP:0000939,,,,,,CustomRO:DC,is substance that treats,
6cdac19f264f99d2c70de96ee637a534,597,chlorhexidine,,drug,,,HP:0100658,,,,,,CustomRO:DC,is substance that treats,
6a72a69910a21543443bc754aab10459,4209,prazosin,,drug,,,HP:0001635,,,,,,CustomRO:DC,is substance that treats,
9b47f022d1766877fe5e3776459f2a5b,4209,prazosin,,drug,,,HP:0000822,,,,,,CustomRO:DC,is substance that treats,
9c3d579201528bf53c6e5f817a5571e9,1364,hexachlorophene,,drug,,,HP:0100658,,,,,,CustomRO:DC,is substance that treats,
