Edge Type,Count,Percentage
in orthology relationship with,58536,60.30%
causes condition,15948,16.43%
interacts with,13264,13.66%
enables,5016,5.17%
found in,1889,1.95%
has affected feature,519,0.53%
involved in,517,0.53%
associated with phenotype,411,0.42%
contributes to condition,385,0.40%
targets,203,0.21%
is allele of,123,0.13%
likely causes condition,118,0.12%
colocalizes with,42,0.04%
is substance that treats,26,0.03%
has role in modeling,23,0.02%
is product of,22,0.02%
expresses gene,16,0.02%
is variant in,6,0.01%
has genotype,2,0.00%
is of,2,0.00%
