subject,relation,object
disease,associated with phenotype,phenotype
gene,causes condition,phenotype
variant,causes condition,phenotype
variant,causes condition,disease
gene,causes condition,disease
biological process,causes condition,phenotype
genotype,causes condition,phenotype
gene,colocalizes with,gene
gene,contributes to condition,phenotype
variant,contributes to condition,phenotype
variant,contributes to condition,disease
gene,contributes to condition,disease
gene,enables,molecular function
genotype,expresses gene,gene
biological artifact,expresses gene,gene
gene,found in,taxon
variant,has affected feature,gene
biological artifact,has genotype,variant
variant,has role in modeling,disease
genotype,has role in modeling,disease
gene,has role in modeling,disease
gene,in orthology relationship with,gene
gene,interacts with,gene
disease,involved in,molecular function
gene,involved in,biological process
disease,involved in,biological process
variant,is allele of,gene
biological artifact,is of,taxon
gene product,is product of,gene
drug,is substance that treats,phenotype
variant,is variant in,genotype
variant,likely causes condition,disease
drug,targets,gene product
