id,subject_id,subject_label,subject_iri,subject_category,subject_taxon_id,subject_taxon_label,object_id,object_label,object_iri,object_category,object_taxon_id,object_taxon_label,relation_id,relation_label,relation_iri
80a75ac3299f3fd5192f2e05d2c67014,P08253,72 kDa type IV collagenase,,gene product,,,HGNC:7166,,,,,,CustomRO:TTD1,is product of,
2e06550a05eaccae63388b603033b57e,80,aclarubicin,,drug,,,P08253,72 kDa type IV collagenase,,gene product,,,CustomRO:TTD2,targets,
6b68c6fba497f1002f61624427bcced9,P04278,Sex hormone-binding globulin,,gene product,,,HGNC:10839,,,,,,CustomRO:TTD1,is product of,
4b0d57aa109856947d7f162aa42c25f4,111,aldosterone,,drug,,,P04278,Sex hormone-binding globulin,,gene product,,,CustomRO:TTD2,targets,
f3ab682ddab23b0076ca4666d9128ad6,P14780,Matrix metalloproteinase-9,,gene product,,,HGNC:7176,,,,,,CustomRO:TTD1,is product of,
144ad9718ad8856a43087119770bdaaf,174,aminoquinuride,,drug,,,P14780,Matrix metalloproteinase-9,,gene product,,,CustomRO:TTD2,targets,
6b68c6fba497f1002f61624427bcced9,P04278,Sex hormone-binding globulin,,gene product,,,HGNC:10839,,,,,,CustomRO:TTD1,is product of,
65b5ce6d4f72a0cec3f9aebd7b0407b6,214,androstenediol,,drug,,,P04278,Sex hormone-binding globulin,,gene product,,,CustomRO:TTD2,targets,
6b68c6fba497f1002f61624427bcced9,P04278,Sex hormone-binding globulin,,gene product,,,HGNC:10839,,,,,,CustomRO:TTD1,is product of,
e14d73e51cfbc6d51693cc2c59cbf0d1,215,androstenedione,,drug,,,P04278,Sex hormone-binding globulin,,gene product,,,CustomRO:TTD2,targets,
1a5f3d746495674e993b1d0a820777d9,P00533,Epidermal growth factor receptor,,gene product,,,HGNC:3236,,,,,,CustomRO:TTD1,is product of,
2f7f3e45aa1d8a1cd5ee808bda4b97dd,249,astemizole,,drug,,,P00533,Epidermal growth factor receptor,,gene product,,,CustomRO:TTD2,targets,
1a5f3d746495674e993b1d0a820777d9,P00533,Epidermal growth factor receptor,,gene product,,,HGNC:3236,,,,,,CustomRO:TTD1,is product of,
28620fc6d4f6b14784c0f86fe2e43be5,281,bacitracin,,drug,,,P00533,Epidermal growth factor receptor,,gene product,,,CustomRO:TTD2,targets,
f3ab682ddab23b0076ca4666d9128ad6,P14780,Matrix metalloproteinase-9,,gene product,,,HGNC:7176,,,,,,CustomRO:TTD1,is product of,
16316abb012b91be7fc9f7e2b2a16815,294,beclometasone dipropionate,,drug,,,P14780,Matrix metalloproteinase-9,,gene product,,,CustomRO:TTD2,targets,
f3ab682ddab23b0076ca4666d9128ad6,P14780,Matrix metalloproteinase-9,,gene product,,,HGNC:7176,,,,,,CustomRO:TTD1,is product of,
07829b2063bda5bb457f5e0abb6a24fe,419,budesonide,,drug,,,P14780,Matrix metalloproteinase-9,,gene product,,,CustomRO:TTD2,targets,
f3ab682ddab23b0076ca4666d9128ad6,P14780,Matrix metalloproteinase-9,,gene product,,,HGNC:7176,,,,,,CustomRO:TTD1,is product of,
f33e71f3d9efad342607eac113b81226,438,busulfan,,drug,,,P14780,Matrix metalloproteinase-9,,gene product,,,CustomRO:TTD2,targets,
1a5f3d746495674e993b1d0a820777d9,P00533,Epidermal growth factor receptor,,gene product,,,HGNC:3236,,,,,,CustomRO:TTD1,is product of,
baafeb10207b1a94ddcd03124bbc0773,475,candesartan cilexetil,,drug,,,P00533,Epidermal growth factor receptor,,gene product,,,CustomRO:TTD2,targets,
f3ab682ddab23b0076ca4666d9128ad6,P14780,Matrix metalloproteinase-9,,gene product,,,HGNC:7176,,,,,,CustomRO:TTD1,is product of,
a96e09f40791e7fa264e9bddb3a4d586,542,cefonicid,,drug,,,P14780,Matrix metalloproteinase-9,,gene product,,,CustomRO:TTD2,targets,
80a75ac3299f3fd5192f2e05d2c67014,P08253,72 kDa type IV collagenase,,gene product,,,HGNC:7166,,,,,,CustomRO:TTD1,is product of,
32e46060342bb470076218a6be2f560d,547,cefotetan,,drug,,,P08253,72 kDa type IV collagenase,,gene product,,,CustomRO:TTD2,targets,
03083aa32ed402b9921770666141a188,P21964,Catechol O-methyltransferase,,gene product,,,HGNC:2228,,,,,,CustomRO:TTD1,is product of,
3493bfefcdc625b0d4ad915f0421a6ab,547,cefotetan,,drug,,,P21964,Catechol O-methyltransferase,,gene product,,,CustomRO:TTD2,targets,
f3ab682ddab23b0076ca4666d9128ad6,P14780,Matrix metalloproteinase-9,,gene product,,,HGNC:7176,,,,,,CustomRO:TTD1,is product of,
37c99dd2ac990b3abfff66dc095c0a6d,547,cefotetan,,drug,,,P14780,Matrix metalloproteinase-9,,gene product,,,CustomRO:TTD2,targets,
f3ab682ddab23b0076ca4666d9128ad6,P14780,Matrix metalloproteinase-9,,gene product,,,HGNC:7176,,,,,,CustomRO:TTD1,is product of,
99685594be0048a090ab1200d525b6b8,548,cefotiam,,drug,,,P14780,Matrix metalloproteinase-9,,gene product,,,CustomRO:TTD2,targets,
80a75ac3299f3fd5192f2e05d2c67014,P08253,72 kDa type IV collagenase,,gene product,,,HGNC:7166,,,,,,CustomRO:TTD1,is product of,
32cdf6509801f75c06f574fbfae23926,565,cefuroxime,,drug,,,P08253,72 kDa type IV collagenase,,gene product,,,CustomRO:TTD2,targets,
f3ab682ddab23b0076ca4666d9128ad6,P14780,Matrix metalloproteinase-9,,gene product,,,HGNC:7176,,,,,,CustomRO:TTD1,is product of,
debb90b5de074e17d4f642f019614177,565,cefuroxime,,drug,,,P14780,Matrix metalloproteinase-9,,gene product,,,CustomRO:TTD2,targets,
f3ab682ddab23b0076ca4666d9128ad6,P14780,Matrix metalloproteinase-9,,gene product,,,HGNC:7176,,,,,,CustomRO:TTD1,is product of,
0db8060e2ee3c96924ee127271e9e89a,574,cefalotin,,drug,,,P14780,Matrix metalloproteinase-9,,gene product,,,CustomRO:TTD2,targets,
f3ab682ddab23b0076ca4666d9128ad6,P14780,Matrix metalloproteinase-9,,gene product,,,HGNC:7176,,,,,,CustomRO:TTD1,is product of,
95edee44c5ea0f6431f72bb2feac1ffd,576,cefradine,,drug,,,P14780,Matrix metalloproteinase-9,,gene product,,,CustomRO:TTD2,targets,
80a75ac3299f3fd5192f2e05d2c67014,P08253,72 kDa type IV collagenase,,gene product,,,HGNC:7166,,,,,,CustomRO:TTD1,is product of,
17ba8351fc98cb513307544f9f1c3eb3,597,chlorhexidine,,drug,,,P08253,72 kDa type IV collagenase,,gene product,,,CustomRO:TTD2,targets,
f3ab682ddab23b0076ca4666d9128ad6,P14780,Matrix metalloproteinase-9,,gene product,,,HGNC:7176,,,,,,CustomRO:TTD1,is product of,
9144747f8767fd1f4601d7c4926041bd,597,chlorhexidine,,drug,,,P14780,Matrix metalloproteinase-9,,gene product,,,CustomRO:TTD2,targets,
03f6016fe7a7635afaa936627b7ee05d,Q05397,Focal adhesion kinase 1,,gene product,,,HGNC:9611,,,,,,CustomRO:TTD1,is product of,
2a091c1ce441c3d50b42ee944892c483,606,chloropyramine,,drug,,,Q05397,Focal adhesion kinase 1,,gene product,,,CustomRO:TTD2,targets,
1a5f3d746495674e993b1d0a820777d9,P00533,Epidermal growth factor receptor,,gene product,,,HGNC:3236,,,,,,CustomRO:TTD1,is product of,
4c951d7234cfff972818a7a49fbed217,621,chlorpromazine,,drug,,,P00533,Epidermal growth factor receptor,,gene product,,,CustomRO:TTD2,targets,
1a5f3d746495674e993b1d0a820777d9,P00533,Epidermal growth factor receptor,,gene product,,,HGNC:3236,,,,,,CustomRO:TTD1,is product of,
eccc3357466d74606f8b9acbfbd1a40f,700,clomifene,,drug,,,P00533,Epidermal growth factor receptor,,gene product,,,CustomRO:TTD2,targets,
1a5f3d746495674e993b1d0a820777d9,P00533,Epidermal growth factor receptor,,gene product,,,HGNC:3236,,,,,,CustomRO:TTD1,is product of,
ad002a13bfb473d72acff25817786e3a,719,clotrimazole,,drug,,,P00533,Epidermal growth factor receptor,,gene product,,,CustomRO:TTD2,targets,
6b68c6fba497f1002f61624427bcced9,P04278,Sex hormone-binding globulin,,gene product,,,HGNC:10839,,,,,,CustomRO:TTD1,is product of,
8cdc8b3e8f8d08b61b33423985b6eab6,734,cortisone acetate,,drug,,,P04278,Sex hormone-binding globulin,,gene product,,,CustomRO:TTD2,targets,
96a24cf43418e90ff200e298dba69a14,P23284,Peptidyl-prolyl cis-trans isomerase B,,gene product,,,HGNC:9255,,,,,,CustomRO:TTD1,is product of,
5aa0df4383e81f75435a8ed9c03e5c7c,760,ciclosporin,,drug,,,P23284,Peptidyl-prolyl cis-trans isomerase B,,gene product,,,CustomRO:TTD2,targets,
f3ab682ddab23b0076ca4666d9128ad6,P14780,Matrix metalloproteinase-9,,gene product,,,HGNC:7176,,,,,,CustomRO:TTD1,is product of,
8306386d0b0a508b4ee53aa19b77aa14,773,dacarbazine,,drug,,,P14780,Matrix metalloproteinase-9,,gene product,,,CustomRO:TTD2,targets,
6b68c6fba497f1002f61624427bcced9,P04278,Sex hormone-binding globulin,,gene product,,,HGNC:10839,,,,,,CustomRO:TTD1,is product of,
f3e830b63ea384be62e950b479ee5a2c,779,danazol,,drug,,,P04278,Sex hormone-binding globulin,,gene product,,,CustomRO:TTD2,targets,
a604d8f9e1f62c3326bc3407bbf57ba2,P09619,Platelet-derived growth factor receptor beta,,gene product,,,HGNC:8804,,,,,,CustomRO:TTD1,is product of,
fc6e11ec2f77ecc4e16cc9082a09351f,785,dasatinib,,drug,,,P09619,Platelet-derived growth factor receptor beta,,gene product,,,CustomRO:TTD2,targets,
