index_id,id,semantic,label,semantic_id
0,ENSEMBL:ENSRNOG00000061099,ORTH,A0A0G2JVI3,5
1,ENSEMBL:ENSSSCG00000038558,ORTH,ENSEMBL:ENSSSCG00000038558,5
2,MP:0002682,DISO,decreased mature ovarian follicle number,1
3,ENSEMBL:ENSECAG00000014460,ORTH,ENSEMBL:ENSECAG00000014460,5
4,HP:0000736,DISO,Short attention span,1
5,MP:0001364,DISO,decreased anxiety-related response,1
6,MP:0009342,DISO,enlarged gallbladder,1
7,RGD:621145,ORTH,Trip10,5
8,WBPhenotype:0001103,DISO,spindle absent early emb,1
9,WBPhenotype:0001854,DISO,benomyl response variant,1
10,HP:0012433,DISO,Abnormal social behavior,1
11,RGD:621081,ORTH,Tgm2,5
12,PomBase:SPAC15A10.08,GENO,ain1,4
13,ZFIN:ZDB-GENE-040426-1110,ORTH,strap,5
14,ZFIN:ZDB-GENE-080204-7,ORTH,dnali1,5
15,MGI:3698042,ORTH,Htt<tm5Mem>/Htt<tm5Mem> [involves: 129S1/Sv * 129X1/SvJ * CD-1],5
16,ENSEMBL:ENSACAG00000005403,ORTH,ENSEMBL:ENSACAG00000005403,5
17,WBPhenotype:0000345,DISO,VPC cell division variant,1
18,ZP:0002193,DISO,"axon motor neuron decreased branchiness, abnormal",1
19,dictyBase:DDB_G0289665,GENO,gefQ,4
20,ENSEMBL:ENSMMUG00000018258,ORTH,ENSEMBL:ENSMMUG00000018258,5
21,MP:0008850,DISO,increased hemoglobin concentration distribution width,1
22,HP:0002633,DISO,Vasculitis,1
23,HP:0003808,DISO,Abnormal muscle tone,1
24,MONARCH:APO_0000309APO_0000005,GENO,respiratory growth:absent,4
25,ENSEMBL:ENSCAFG00000015164,ORTH,E2RRH1,5
26,MP:0008770,DISO,decreased survivor rate,1
27,FlyBase:FBgn0050378,ORTH,Dmel\CG30378,5
28,WormBase:WBGene00008506,ORTH,tkt-1,5
29,WBPhenotype:0000470,DISO,HSN migration variant,1
30,MP:0004905,DISO,decreased uterus weight,1
31,ZP:0019802,DISO,"blood island decreased amount, abnormal",1
32,HP:0003326,DISO,Myalgia,1
33,MGI:3698041,ORTH,Htt<tm5Mem>/Htt<+> [involves: 129S1/Sv * 129X1/SvJ * CD-1],5
34,Xenbase:XB-GENE-5991273,ORTH,mr1,5
35,dictyBase:DDB_G0290793,GENO,rabN2,4
36,ENSEMBL:ENSPTRG00000014033,ORTH,ENSEMBL:ENSPTRG00000014033,5
37,MP:0000763,DISO,abnormal filiform papillae morphology,1
38,dictyBase:DDB_G0287689,GENO,tubA,4
39,MP:0003058,DISO,increased insulin secretion,1
40,ZP:0000482,DISO,"heart contraction disrupted, abnormal",1
41,Xenbase:XB-GENE-6455449,ORTH,ptdss1,5
42,MGI:1096368,ORTH,Ap1b1,5
43,90,DRUG,adenosine,2
44,WBPhenotype:0000467,DISO,age associated fluorescence increased,1
45,ZP:0016668,DISO,"palate morphology, abnormal",1
46,91,DRUG,adenosine triphosphate,2
47,ENSEMBL:ENSPTRG00000028721,ORTH,ENSEMBL:ENSPTRG00000028721,5
48,ENSEMBL:ENSMMUG00000004560,ORTH,ENSEMBL:ENSMMUG00000004560,5
49,Xenbase:XB-GENE-982653,ORTH,psma5,5
50,HP:0010808,DISO,Protruding tongue,1
51,MP:0004713,DISO,split notochord,1
52,114,DRUG,alfentanil,2
53,HP:0001337,DISO,Tremor,1
54,ENSEMBL:ENSSSCG00000016974,ORTH,ENSEMBL:ENSSSCG00000016974,5
55,ENSEMBL:ENSSSCG00000004639,ORTH,USP8,5
56,ZFIN:ZDB-GENE-030131-8369,ORTH,aldoaa,5
57,MGI:95590,ORTH,Ftl2-ps,5
58,ENSEMBL:ENSMODG00000018083,ORTH,ENSEMBL:ENSMODG00000018083,5
59,HGNC:6746,GENE,NBR1,3
60,FlyBase:FBgn0031331,ORTH,CG5440,5
61,ENSEMBL:ENSMODG00000012963,ORTH,ENSEMBL:ENSMODG00000012963,5
62,HP:0100738,DISO,Abnormal eating behavior,1
63,ZFIN:ZDB-GENE-060825-152,ORTH,mhc1uka,5
64,FlyBase:FBgn0039788,ORTH,Rpt6R,5
65,dictyBase:DDB_G0281215,GENO,TFIIIB2,4
66,HP:0001355,DISO,Megalencephaly,1
67,143,DRUG,alvimopan,2
68,WBPhenotype:0000020,DISO,pharyngeal pumping irregular,1
69,ENSEMBL:ENSBTAG00000018969,ORTH,ENSEMBL:ENSBTAG00000018969,5
70,MGI:1924555,ORTH,Wdr82,5
71,WBPhenotype:0000135,DISO,gene expression level high,1
72,ENSEMBL:ENSMODG00000015187,ORTH,ENSEMBL:ENSMODG00000015187,5
73,HP:0040327,DISO,Abnormal morphology of the olfactory bulb,1
74,dictyBase:DDB_G0278133,GENO,DDB_G0278133,4
75,WormBase:WBGene00004815,ORTH,skr-9,5
76,ENSEMBL:ENSMODG00000025182,ORTH,ENSEMBL:ENSMODG00000025182,5
77,ZFIN:ZDB-GENE-040701-1,ORTH,nlk1,5
78,HGNC:10474,GENE,RUVBL1,3
79,ENSEMBL:ENSCAFG00000031802,ORTH,CRPPA,5
80,176,DRUG,amiodarone,2
81,RGD:621595,ORTH,Vcp,5
82,ENSEMBL:ENSECAG00000009936,ORTH,ENSEMBL:ENSECAG00000009936,5
83,MP:0009426,DISO,decreased soleus weight,1
84,ZP:0002203,DISO,"trunk decreased thickness, abnormal",1
85,MP:0006123,DISO,tricuspid valve atresia,1
86,186,DRUG,amodiaquine,2
87,ZP:0000352,DISO,"antero-lateral region prechordal plate decreased size, abnormal",1
88,WormBase:WBGene00006861,ORTH,cal-5,5
89,WormBase:WBGene00020086,ORTH,npr-24,5
90,HGNC:16760,GENE,COPS7B,3
91,ENSEMBL:ENSCAFG00000025174,ORTH,A0A5F4D012,5
92,WormBase:WBGene00010663,ORTH,toca-2,5
93,ZFIN:ZDB-GENE-070410-130,ORTH,bdh1,5
94,ENSEMBL:ENSMMUG00000015302,ORTH,ENSEMBL:ENSMMUG00000015302,5
95,MGI:2653603,ORTH,Tg(HDexon1)61Gpb [involves: C57BL/6 * CBA/J],5
96,HGNC:4586,GENE,GRIN2B,3
97,ZFIN:ZDB-GENE-050327-68,ORTH,ikbkg,5
98,ZP:0010084,DISO,"whole organism lacks all parts of type telencephalon, abnormal",1
99,MP:0003993,DISO,abnormal ventral spinal root morphology,1
100,220,DRUG,anileridine,2
101,MONARCH:APO_0000034APO_0000117,GENO,mating efficiency:normal,4
102,HP:0000475,DISO,Broad neck,1
103,RGD:1595790,ORTH,Zdhhc17,5
104,ENSEMBL:ENSACAG00000009672,ORTH,ENSEMBL:ENSACAG00000009672,5
105,ENSEMBL:ENSMMUG00000022222,ORTH,ENSEMBL:ENSMMUG00000022222,5
106,ENSEMBL:ENSMMUG00000015032,ORTH,ENSEMBL:ENSMMUG00000015032,5
107,HP:0010804,DISO,Tented upper lip vermilion,1
108,ZP:0006214,DISO,"cardiac ventricle collapsed, abnormal",1
109,dictyBase:DDB_G0294569,GENO,DDB_G0294569,4
110,ZP:0017556,DISO,"mandibular arch skeleton agenesis, abnormal",1
111,ZP:0007684,DISO,"cardiac muscle cell atrioventricular canal morphology, abnormal",1
112,EFO:0004518,GENO,creatinine measurement,4
113,249,DRUG,astemizole,2
114,ENSEMBL:ENSACAG00000010955,ORTH,ENSEMBL:ENSACAG00000010955,5
115,MGI:105941,ORTH,Mpp1,5
116,ENSEMBL:ENSMODG00000008993,ORTH,ENSEMBL:ENSMODG00000008993,5
117,MP:0004860,DISO,dilated kidney collecting duct,1
118,HGNC:9675,GENE,PTPRM,3
119,SGD:S000003484,ORTH,GCN5,5
120,FlyBase:FBgn0002121,ORTH,l(2)gl,5
121,ENSEMBL:ENSBTAG00000019386,ORTH,BOLA-NC1,5
122,ZP:0138140,DISO,"cardiac muscle cell has extra parts of type autophagosome cardiac muscle cell, abnormal",1
123,UBERON:0000059,ANAT,large intestine,0
124,HP:0030190,DISO,Oral motor hypotonia,1
125,MP:0003358,DISO,abnormal hypaxial muscle morphology,1
126,ZFIN:ZDB-GENE-071203-2,ORTH,ulk1b,5
127,SGD:S000000833,ORTH,YPT31,5
128,MP:0004298,DISO,vestibular ganglion degeneration,1
129,ENSEMBL:ENSCAFG00000018354,ORTH,AKT1,5
130,ZP:0006620,DISO,"cardiac ventricle action potential, abnormal",1
131,WBPhenotype:0002298,DISO,coiling frequency variant,1
132,281,DRUG,bacitracin,2
133,HGNC:28826,GENE,WDR82,3
134,WBPhenotype:0001354,DISO,actin cytoskeleton filament morphology phenotype,1
135,ENSEMBL:ENSGALG00000003221,ORTH,WDR61,5
136,ENSEMBL:ENSMMUG00000011612,ORTH,ENSEMBL:ENSMMUG00000011612,5
137,ZFIN:ZDB-GENE-040426-2763,ORTH,med21,5
138,MP:0009454,DISO,impaired contextual conditioning behavior,1
139,SGD:S000001300,ORTH,NOT3,5
140,ENSEMBL:ENSSSCG00000024837,ORTH,ENSEMBL:ENSSSCG00000024837,5
141,ENSEMBL:ENSECAG00000010446,ORTH,ENSEMBL:ENSECAG00000010446,5
142,ENSEMBL:ENSPTRG00000011315,ORTH,ENSEMBL:ENSPTRG00000011315,5
143,HP:0000465,DISO,Webbed neck,1
144,Xenbase:XB-GENE-982107,ORTH,tcerg1l,5
145,MGI:2386306,ORTH,Eppk1,5
146,FlyBase:FBgn0001230,ORTH,Hsp68,5
147,HP:0002323,DISO,Anencephaly,1
148,EnsemblGenome:AT5G01270,ORTH,EnsemblGenome:AT5G01270,5
149,Coriell:GM04720,GENO,NIGMS-GM04720,4
150,ZP:0011507,DISO,"optic tectum increased occurrence apoptotic process, abnormal",1
151,ZFIN:ZDB-GENE-061207-27,ORTH,grin2bb,5
152,HP:0025401,DISO,Staring gaze,1
153,WBPhenotype:0001981,DISO,germ cell compartment expansion absent,1
154,HGNC:20332,GENE,UPF3A,3
155,MGI:1306778,ORTH,Map1b,5
156,FlyBase:FBgn0038830,ORTH,CG17272,5
157,ENSEMBL:ENSMMUG00000031106,ORTH,ENSEMBL:ENSMMUG00000031106,5
158,FlyBase:FBgn0038571,ORTH,CG7215,5
159,MGI:1928898,ORTH,Usp14,5
160,MONARCH:APO_0000055APO_0000002,GENO,mitochondrial morphology:abnormal,4
161,HGNC:6868,GENE,MAP6,3
162,MP:0001625,DISO,cardiac hypertrophy,1
163,ENSEMBL:ENSXETG00000016466,ORTH,XB5894692 [provisional:azgp1],5
164,ENSEMBL:ENSMMUG00000016009,ORTH,ENSEMBL:ENSMMUG00000016009,5
165,ZFIN:ZDB-GENE-040927-6,ORTH,cnot3a,5
166,HGNC:414,GENE,ALDOA,3
167,ENSEMBL:ENSACAG00000026863,ORTH,ENSEMBL:ENSACAG00000026863,5
168,WBPhenotype:0000037,DISO,egg morphology variant,1
169,EFO:0007993,GENO,lymphocyte percentage of leukocytes,4
170,WBPhenotype:0000168,DISO,alae secretion variant,1
171,ENSEMBL:ENSACAG00000014501,ORTH,ENSEMBL:ENSACAG00000014501,5
172,HGNC:6916,GENE,MBD1,3
173,MP:0008008,DISO,early cellular replicative senescence,1
174,MP:0001258,DISO,decreased body length,1
175,HP:0000137,DISO,Abnormality of the ovary,1
176,ZP:0003690,DISO,"axis specification disrupted, abnormal",1
177,ENSEMBL:ENSOANG00000005734,ORTH,ENSEMBL:ENSOANG00000005734,5
178,ZFIN:ZDB-GENE-090508-10,ORTH,ftr69,5
179,WormBase:WBGene00003934,ORTH,pat-10,5
180,ENSEMBL:ENSGALG00000004834,ORTH,ENSEMBL:ENSGALG00000004834,5
181,FlyBase:FBgn0266848,ORTH,wap,5
182,dictyBase:DDB_G0279751,GENO,dictyBase:DDB_G0279751,4
183,PomBase:SPBP35G2.11c,GENO,nbr1,4
184,ENSEMBL:ENSOANG00000038541,ORTH,ENSEMBL:ENSOANG00000038541,5
185,MP:0000378,DISO,absent hair follicles,1
186,391,DRUG,bortezomib,2
187,ENSEMBL:ENSSSCG00000003137,ORTH,PLEKHA4,5
188,ZP:0000404,DISO,"liver hypoplastic, abnormal",1
189,ENSEMBL:ENSBTAG00000046936,ORTH,ENSEMBL:ENSBTAG00000046936,5
190,HP:0000689,DISO,Dental malocclusion,1
191,MP:0008235,DISO,increased susceptibility to neuronal excitotoxicity,1
192,ZP:0006872,DISO,"ciliary marginal zone orientation spindle retinal pigmented epithelium, abnormal",1
193,dictyBase:DDB_G0290901,GENO,gefK,4
194,ENSEMBL:ENSGALG00000036218,ORTH,RAB4A,5
195,ENSEMBL:ENSRNOG00000053060,ORTH,Zfc3h1,5
196,HP:0002715,DISO,Abnormality of the immune system,1
197,ZP:0019006,DISO,"pronephric distal late tubule decreased distribution, abnormal",1
198,Coriell:GM04217,GENO,NIGMS-GM04217,4
199,SGD:S000003472,ORTH,PFK1,5
