id,subject_id,subject_label,subject_iri,subject_category,subject_taxon_id,subject_taxon_label,object_id,object_label,object_iri,object_category,object_taxon_id,object_taxon_label,relation_id,relation_label,relation_iri
3655315d61c3cd0e6b0f1e58c4791dc1,Q01668,Voltage-dependent L-type calcium channel subunit alpha-1D,,gene product,,,HGNC:1391,,,,,,CustomRO:TTD1,is product of,
4a9a76ce59fc4d97529c8346c5f82ca6,6,(S)-nitrendipine,,drug,,,Q01668,Voltage-dependent L-type calcium channel subunit alpha-1D,,gene product,,,CustomRO:TTD2,targets,
11c728823eecd01ffa9682b39cc93bc1,O60840,Voltage-dependent L-type calcium channel subunit alpha-1F,,gene product,,,HGNC:1393,,,,,,CustomRO:TTD1,is product of,
b5d2baf7f4d01ce9ee55f79c34317738,6,(S)-nitrendipine,,drug,,,O60840,Voltage-dependent L-type calcium channel subunit alpha-1F,,gene product,,,CustomRO:TTD2,targets,
4519c734cfd6ef76b05b360e0eae4794,Q13936,Voltage-dependent L-type calcium channel subunit alpha-1C,,gene product,,,HGNC:1390,,,,,,CustomRO:TTD1,is product of,
c26773c5ddad4dad45e1fde1ad24b7c4,6,(S)-nitrendipine,,drug,,,Q13936,Voltage-dependent L-type calcium channel subunit alpha-1C,,gene product,,,CustomRO:TTD2,targets,
e8f149da3b3c7dc90e95b5f5bc4646d0,Q92769,Histone deacetylase 2,,gene product,,,HGNC:4853,,,,,,CustomRO:TTD1,is product of,
f18a8c14d4ea97ab766ceb65640eb8bc,24,phenylbutanoic acid,,drug,,,Q92769,Histone deacetylase 2,,gene product,,,CustomRO:TTD2,targets,
b00c4bb5ef7dca816e71bac80d725503,P11229,Muscarinic acetylcholine receptor M1,,gene product,,,HGNC:1950,,,,,,CustomRO:TTD1,is product of,
563be2debf1da7258647e9fb0e1556d4,65,acetylcholine,,drug,,,P11229,Muscarinic acetylcholine receptor M1,,gene product,,,CustomRO:TTD2,targets,
9400f1142a87603e4610ddf2df922ab3,P04156,Major prion protein,,gene product,,,HGNC:9449,,,,,,CustomRO:TTD1,is product of,
58a8e7818cf7e258354c91cf0751d605,73,acepromazine,,drug,,,P04156,Major prion protein,,gene product,,,CustomRO:TTD2,targets,
4391d1b9bcc30bcc1ff97c2c4ad75f23,P12931,Proto-oncogene tyrosine-protein kinase Src,,gene product,,,HGNC:11283,,,,,,CustomRO:TTD1,is product of,
02dc40c4009e7abc8040a279f846a3b8,92,adenosine phosphate,,drug,,,P12931,Proto-oncogene tyrosine-protein kinase Src,,gene product,,,CustomRO:TTD2,targets,
b00c4bb5ef7dca816e71bac80d725503,P11229,Muscarinic acetylcholine receptor M1,,gene product,,,HGNC:1950,,,,,,CustomRO:TTD1,is product of,
6a8158d62252828ac2e9abe2e4b13160,109,alcuronium,,drug,,,P11229,Muscarinic acetylcholine receptor M1,,gene product,,,CustomRO:TTD2,targets,
b00c4bb5ef7dca816e71bac80d725503,P11229,Muscarinic acetylcholine receptor M1,,gene product,,,HGNC:1950,,,,,,CustomRO:TTD1,is product of,
5a33f6a97115578dc741873c7fb9fb6b,176,amiodarone,,drug,,,P11229,Muscarinic acetylcholine receptor M1,,gene product,,,CustomRO:TTD2,targets,
b00c4bb5ef7dca816e71bac80d725503,P11229,Muscarinic acetylcholine receptor M1,,gene product,,,HGNC:1950,,,,,,CustomRO:TTD1,is product of,
1932ed0d001d7a54fb4b748bf6f5321e,180,amitriptyline,,drug,,,P11229,Muscarinic acetylcholine receptor M1,,gene product,,,CustomRO:TTD2,targets,
4519c734cfd6ef76b05b360e0eae4794,Q13936,Voltage-dependent L-type calcium channel subunit alpha-1C,,gene product,,,HGNC:1390,,,,,,CustomRO:TTD1,is product of,
fc9512eeab5f1f1a989b1ff63a494072,183,amlodipine,,drug,,,Q13936,Voltage-dependent L-type calcium channel subunit alpha-1C,,gene product,,,CustomRO:TTD2,targets,
3655315d61c3cd0e6b0f1e58c4791dc1,Q01668,Voltage-dependent L-type calcium channel subunit alpha-1D,,gene product,,,HGNC:1391,,,,,,CustomRO:TTD1,is product of,
e666b93892b2b90788f13b75a208072b,183,amlodipine,,drug,,,Q01668,Voltage-dependent L-type calcium channel subunit alpha-1D,,gene product,,,CustomRO:TTD2,targets,
f3c4a09062fd34fd6b1d05e4914d61ba,P05067,Amyloid beta A4 protein,,gene product,,,HGNC:620,,,,,,CustomRO:TTD1,is product of,
11f4c30f8e7ef08366816065b2a49b37,186,amodiaquine,,drug,,,P05067,Amyloid beta A4 protein,,gene product,,,CustomRO:TTD2,targets,
b00c4bb5ef7dca816e71bac80d725503,P11229,Muscarinic acetylcholine receptor M1,,gene product,,,HGNC:1950,,,,,,CustomRO:TTD1,is product of,
127e0b6d6c7aeedada4a70bc9cacfc20,191,amoxapine,,drug,,,P11229,Muscarinic acetylcholine receptor M1,,gene product,,,CustomRO:TTD2,targets,
b00c4bb5ef7dca816e71bac80d725503,P11229,Muscarinic acetylcholine receptor M1,,gene product,,,HGNC:1950,,,,,,CustomRO:TTD1,is product of,
50a0029b21e2b6e8d4ccb0ec88f4c290,223,octatropine methylbromide,,drug,,,P11229,Muscarinic acetylcholine receptor M1,,gene product,,,CustomRO:TTD2,targets,
d97eeeddbb362b622ff727ca9fc49f0d,P32418,Sodium/calcium exchanger 1,,gene product,,,HGNC:11068,,,,,,CustomRO:TTD1,is product of,
4f959302a391e935e440d43c07308673,231,aprindine,,drug,,,P32418,Sodium/calcium exchanger 1,,gene product,,,CustomRO:TTD2,targets,
b00c4bb5ef7dca816e71bac80d725503,P11229,Muscarinic acetylcholine receptor M1,,gene product,,,HGNC:1950,,,,,,CustomRO:TTD1,is product of,
aebbfe70aaf0c5f2e117cc85054ede56,242,aripiprazole,,drug,,,P11229,Muscarinic acetylcholine receptor M1,,gene product,,,CustomRO:TTD2,targets,
b00c4bb5ef7dca816e71bac80d725503,P11229,Muscarinic acetylcholine receptor M1,,gene product,,,HGNC:1950,,,,,,CustomRO:TTD1,is product of,
37c089889c00eefe16cbe8ea2c51ee5c,249,astemizole,,drug,,,P11229,Muscarinic acetylcholine receptor M1,,gene product,,,CustomRO:TTD2,targets,
e8f149da3b3c7dc90e95b5f5bc4646d0,Q92769,Histone deacetylase 2,,gene product,,,HGNC:4853,,,,,,CustomRO:TTD1,is product of,
e707bdad237de791da1617c445df0b55,257,atorvastatin,,drug,,,Q92769,Histone deacetylase 2,,gene product,,,CustomRO:TTD2,targets,
b00c4bb5ef7dca816e71bac80d725503,P11229,Muscarinic acetylcholine receptor M1,,gene product,,,HGNC:1950,,,,,,CustomRO:TTD1,is product of,
1dc454b439ccc45c4f409811f152f803,260,atropine,,drug,,,P11229,Muscarinic acetylcholine receptor M1,,gene product,,,CustomRO:TTD2,targets,
84e7fa6a5995a0372ca295937d82b7ce,P63000,Ras-related C3 botulinum toxin substrate 1,,gene product,,,HGNC:9801,,,,,,CustomRO:TTD1,is product of,
d18a1a45a2870f41b8156d5d841ca3a2,269,azathioprine,,drug,,,P63000,Ras-related C3 botulinum toxin substrate 1,,gene product,,,CustomRO:TTD2,targets,
b00c4bb5ef7dca816e71bac80d725503,P11229,Muscarinic acetylcholine receptor M1,,gene product,,,HGNC:1950,,,,,,CustomRO:TTD1,is product of,
683aa2e7fab08ff09eb14d372ee400cd,271,azelastine,,drug,,,P11229,Muscarinic acetylcholine receptor M1,,gene product,,,CustomRO:TTD2,targets,
e8f149da3b3c7dc90e95b5f5bc4646d0,Q92769,Histone deacetylase 2,,gene product,,,HGNC:4853,,,,,,CustomRO:TTD1,is product of,
adb9928f7d93666df91c351b4eb55039,302,bendamustine,,drug,,,Q92769,Histone deacetylase 2,,gene product,,,CustomRO:TTD2,targets,
8e5a1a219e9e8442598c8ce197fc569c,Q12791,Calcium-activated potassium channel subunit alpha-1,,gene product,,,HGNC:6284,,,,,,CustomRO:TTD1,is product of,
1118773ce01f85c1cf6bead7713391c4,305,bendroflumethiazide,,drug,,,Q12791,Calcium-activated potassium channel subunit alpha-1,,gene product,,,CustomRO:TTD2,targets,
b00c4bb5ef7dca816e71bac80d725503,P11229,Muscarinic acetylcholine receptor M1,,gene product,,,HGNC:1950,,,,,,CustomRO:TTD1,is product of,
236d5ce0724c8b128c7c75366a753721,313,diphenidol,,drug,,,P11229,Muscarinic acetylcholine receptor M1,,gene product,,,CustomRO:TTD2,targets,
68234422fbeca0f4682b5c49f5601a7d,P18031,Tyrosine-protein phosphatase non-receptor type 1,,gene product,,,HGNC:9642,,,,,,CustomRO:TTD1,is product of,
3880b2a4bb2708bb813134dfd721804d,318,benzbromarone,,drug,,,P18031,Tyrosine-protein phosphatase non-receptor type 1,,gene product,,,CustomRO:TTD2,targets,
8e5a1a219e9e8442598c8ce197fc569c,Q12791,Calcium-activated potassium channel subunit alpha-1,,gene product,,,HGNC:6284,,,,,,CustomRO:TTD1,is product of,
9991e593609a8a95b6d33c2de370eb33,332,benzthiazide,,drug,,,Q12791,Calcium-activated potassium channel subunit alpha-1,,gene product,,,CustomRO:TTD2,targets,
b00c4bb5ef7dca816e71bac80d725503,P11229,Muscarinic acetylcholine receptor M1,,gene product,,,HGNC:1950,,,,,,CustomRO:TTD1,is product of,
d9100f438809306e10c23a249c92cf89,333,benzatropine,,drug,,,P11229,Muscarinic acetylcholine receptor M1,,gene product,,,CustomRO:TTD2,targets,
4519c734cfd6ef76b05b360e0eae4794,Q13936,Voltage-dependent L-type calcium channel subunit alpha-1C,,gene product,,,HGNC:1390,,,,,,CustomRO:TTD1,is product of,
