id,subject_id,subject_label,subject_iri,subject_category,subject_taxon_id,subject_taxon_label,object_id,object_label,object_iri,object_category,object_taxon_id,object_taxon_label,relation_id,relation_label,relation_iri
1add2f7d7ad4e4b4ad150426bb6f420f,P04406,Glyceraldehyde-3-phosphate dehydrogenase liver,,gene product,,,HGNC:4141,,,,,,CustomRO:TTD1,is product of,
541e9c2cb2336e64479ca8c3c524d3a9,90,adenosine,,drug,,,P04406,Glyceraldehyde-3-phosphate dehydrogenase liver,,gene product,,,CustomRO:TTD2,targets,
86da7966f889e33b1b32f878f60a0edd,P11142,Heat shock cognate 71 kDa protein,,gene product,,,HGNC:5241,,,,,,CustomRO:TTD1,is product of,
5d172bd42663c4b69dd1be3cc5e27f81,91,adenosine triphosphate,,drug,,,P11142,Heat shock cognate 71 kDa protein,,gene product,,,CustomRO:TTD2,targets,
ccaffe94ec2a46f5fe00c9e3a5f6b938,P0DMV8,Heat shock 70 kDa protein 1A,,gene product,,,HGNC:5232,,,,,,CustomRO:TTD1,is product of,
6196a11dcc8b2eaf9eaf191417984a8b,91,adenosine triphosphate,,drug,,,P0DMV8,Heat shock 70 kDa protein 1A,,gene product,,,CustomRO:TTD2,targets,
53c3814048a7f1f6c01c6eba4d239284,P35372,Mu-type opioid receptor,,gene product,,,HGNC:8156,,,,,,CustomRO:TTD1,is product of,
d9119efe3494d16a2836abf91bcbd733,114,alfentanil,,drug,,,P35372,Mu-type opioid receptor,,gene product,,,CustomRO:TTD2,targets,
53c3814048a7f1f6c01c6eba4d239284,P35372,Mu-type opioid receptor,,gene product,,,HGNC:8156,,,,,,CustomRO:TTD1,is product of,
7ed8cc2ee727bd68b4e8fda4d72149c2,143,alvimopan,,drug,,,P35372,Mu-type opioid receptor,,gene product,,,CustomRO:TTD2,targets,
53c3814048a7f1f6c01c6eba4d239284,P35372,Mu-type opioid receptor,,gene product,,,HGNC:8156,,,,,,CustomRO:TTD1,is product of,
a8b1c4f84ed41561feb633accd6ff207,176,amiodarone,,drug,,,P35372,Mu-type opioid receptor,,gene product,,,CustomRO:TTD2,targets,
f3c4a09062fd34fd6b1d05e4914d61ba,P05067,Amyloid beta A4 protein,,gene product,,,HGNC:620,,,,,,CustomRO:TTD1,is product of,
11f4c30f8e7ef08366816065b2a49b37,186,amodiaquine,,drug,,,P05067,Amyloid beta A4 protein,,gene product,,,CustomRO:TTD2,targets,
53c3814048a7f1f6c01c6eba4d239284,P35372,Mu-type opioid receptor,,gene product,,,HGNC:8156,,,,,,CustomRO:TTD1,is product of,
cc8b1372a7da7b7e68b4f669d370c704,220,anileridine,,drug,,,P35372,Mu-type opioid receptor,,gene product,,,CustomRO:TTD2,targets,
53c3814048a7f1f6c01c6eba4d239284,P35372,Mu-type opioid receptor,,gene product,,,HGNC:8156,,,,,,CustomRO:TTD1,is product of,
8be4bacc72fc84466690b0ae118af2a5,249,astemizole,,drug,,,P35372,Mu-type opioid receptor,,gene product,,,CustomRO:TTD2,targets,
1a5f3d746495674e993b1d0a820777d9,P00533,Epidermal growth factor receptor,,gene product,,,HGNC:3236,,,,,,CustomRO:TTD1,is product of,
2f7f3e45aa1d8a1cd5ee808bda4b97dd,249,astemizole,,drug,,,P00533,Epidermal growth factor receptor,,gene product,,,CustomRO:TTD2,targets,
1a5f3d746495674e993b1d0a820777d9,P00533,Epidermal growth factor receptor,,gene product,,,HGNC:3236,,,,,,CustomRO:TTD1,is product of,
28620fc6d4f6b14784c0f86fe2e43be5,281,bacitracin,,drug,,,P00533,Epidermal growth factor receptor,,gene product,,,CustomRO:TTD2,targets,
16d15d9a027f25ba3e4221e4e34f0604,Q99460,26S proteasome non-ATPase regulatory subunit 1,,gene product,,,HGNC:9554,,,,,,CustomRO:TTD1,is product of,
a88e632cef0fe956cc5e0141138997c6,391,bortezomib,,drug,,,Q99460,26S proteasome non-ATPase regulatory subunit 1,,gene product,,,CustomRO:TTD2,targets,
e87d084cb827c7960c4c1f1ba02152a1,P10619,Lysosomal protective protein,,gene product,,,HGNC:9251,,,,,,CustomRO:TTD1,is product of,
fba44fef57e02d9ec40391c361eafd38,391,bortezomib,,drug,,,P10619,Lysosomal protective protein,,gene product,,,CustomRO:TTD2,targets,
9850a2b7520678578bde1580c09c4c5c,P20618,Proteasome subunit beta type-1,,gene product,,,HGNC:9537,,,,,,CustomRO:TTD1,is product of,
8cef1a74ba678597bf81f390aa6c6999,391,bortezomib,,drug,,,P20618,Proteasome subunit beta type-1,,gene product,,,CustomRO:TTD2,targets,
ded45e74da1cd1a3169dbfd6a454e7d5,P49721,Proteasome subunit beta type-2,,gene product,,,HGNC:9539,,,,,,CustomRO:TTD1,is product of,
b03ec56765d0b34c2d5c3e1f9df96faa,391,bortezomib,,drug,,,P49721,Proteasome subunit beta type-2,,gene product,,,CustomRO:TTD2,targets,
53c3814048a7f1f6c01c6eba4d239284,P35372,Mu-type opioid receptor,,gene product,,,HGNC:8156,,,,,,CustomRO:TTD1,is product of,
3df7fb90d272ea111732373c6c85a417,434,buprenorphine,,drug,,,P35372,Mu-type opioid receptor,,gene product,,,CustomRO:TTD2,targets,
53c3814048a7f1f6c01c6eba4d239284,P35372,Mu-type opioid receptor,,gene product,,,HGNC:8156,,,,,,CustomRO:TTD1,is product of,
9ab6ae1c46c9805e3d85b715f999b332,454,butorphanol,,drug,,,P35372,Mu-type opioid receptor,,gene product,,,CustomRO:TTD2,targets,
1a5f3d746495674e993b1d0a820777d9,P00533,Epidermal growth factor receptor,,gene product,,,HGNC:3236,,,,,,CustomRO:TTD1,is product of,
baafeb10207b1a94ddcd03124bbc0773,475,candesartan cilexetil,,drug,,,P00533,Epidermal growth factor receptor,,gene product,,,CustomRO:TTD2,targets,
ec6e2f1d50ee4d15f0c7bd1267b18e82,P27361,Mitogen-activated protein kinase 3,,gene product,,,HGNC:6877,,,,,,CustomRO:TTD1,is product of,
37ae7c6922aa9bfe6a7a13f239491494,511,carmofur,,drug,,,P27361,Mitogen-activated protein kinase 3,,gene product,,,CustomRO:TTD2,targets,
f3c4a09062fd34fd6b1d05e4914d61ba,P05067,Amyloid beta A4 protein,,gene product,,,HGNC:620,,,,,,CustomRO:TTD1,is product of,
930a6ee9817827b8c752fedb74ed5b88,522,carvedilol,,drug,,,P05067,Amyloid beta A4 protein,,gene product,,,CustomRO:TTD2,targets,
53c3814048a7f1f6c01c6eba4d239284,P35372,Mu-type opioid receptor,,gene product,,,HGNC:8156,,,,,,CustomRO:TTD1,is product of,
c62cc4c4882c6608cb33e6c33b392560,575,cefapirin,,drug,,,P35372,Mu-type opioid receptor,,gene product,,,CustomRO:TTD2,targets,
cd6e0a4cc62c9e39cc5cda162ad22c9c,P49327,Fatty acid synthase,,gene product,,,HGNC:3594,,,,,,CustomRO:TTD1,is product of,
8bc3646acf058d08475fff0a9139f348,578,cerulenin,,drug,,,P49327,Fatty acid synthase,,gene product,,,CustomRO:TTD2,targets,
f3c4a09062fd34fd6b1d05e4914d61ba,P05067,Amyloid beta A4 protein,,gene product,,,HGNC:620,,,,,,CustomRO:TTD1,is product of,
9796ad81f334807c605694a2b67f91aa,607,chloroquine,,drug,,,P05067,Amyloid beta A4 protein,,gene product,,,CustomRO:TTD2,targets,
53c3814048a7f1f6c01c6eba4d239284,P35372,Mu-type opioid receptor,,gene product,,,HGNC:8156,,,,,,CustomRO:TTD1,is product of,
ddb9c72782692a3b1217403d634b0d14,621,chlorpromazine,,drug,,,P35372,Mu-type opioid receptor,,gene product,,,CustomRO:TTD2,targets,
1a5f3d746495674e993b1d0a820777d9,P00533,Epidermal growth factor receptor,,gene product,,,HGNC:3236,,,,,,CustomRO:TTD1,is product of,
4c951d7234cfff972818a7a49fbed217,621,chlorpromazine,,drug,,,P00533,Epidermal growth factor receptor,,gene product,,,CustomRO:TTD2,targets,
f3c4a09062fd34fd6b1d05e4914d61ba,P05067,Amyloid beta A4 protein,,gene product,,,HGNC:620,,,,,,CustomRO:TTD1,is product of,
fcc3106fe0af5807c81d00e3e8df0dad,629,cianidanol,,drug,,,P05067,Amyloid beta A4 protein,,gene product,,,CustomRO:TTD2,targets,
53c3814048a7f1f6c01c6eba4d239284,P35372,Mu-type opioid receptor,,gene product,,,HGNC:8156,,,,,,CustomRO:TTD1,is product of,
bdc0d6fd6c496ba43d36ccf443fc3af1,654,cinnarizine,,drug,,,P35372,Mu-type opioid receptor,,gene product,,,CustomRO:TTD2,targets,
f3c4a09062fd34fd6b1d05e4914d61ba,P05067,Amyloid beta A4 protein,,gene product,,,HGNC:620,,,,,,CustomRO:TTD1,is product of,
417c149833f8ae2b310570e7fb8e8b5b,681,clioquinol,,drug,,,P05067,Amyloid beta A4 protein,,gene product,,,CustomRO:TTD2,targets,
1a5f3d746495674e993b1d0a820777d9,P00533,Epidermal growth factor receptor,,gene product,,,HGNC:3236,,,,,,CustomRO:TTD1,is product of,
eccc3357466d74606f8b9acbfbd1a40f,700,clomifene,,drug,,,P00533,Epidermal growth factor receptor,,gene product,,,CustomRO:TTD2,targets,
53c3814048a7f1f6c01c6eba4d239284,P35372,Mu-type opioid receptor,,gene product,,,HGNC:8156,,,,,,CustomRO:TTD1,is product of,
5b509fe4f3d423ecd2a7a8f34e845781,719,clotrimazole,,drug,,,P35372,Mu-type opioid receptor,,gene product,,,CustomRO:TTD2,targets,
1a5f3d746495674e993b1d0a820777d9,P00533,Epidermal growth factor receptor,,gene product,,,HGNC:3236,,,,,,CustomRO:TTD1,is product of,
ad002a13bfb473d72acff25817786e3a,719,clotrimazole,,drug,,,P00533,Epidermal growth factor receptor,,gene product,,,CustomRO:TTD2,targets,
4e636baf0642ce676c2e9860a5770859,P55072,Transitional endoplasmic reticulum ATPase,,gene product,,,HGNC:12666,,,,,,CustomRO:TTD1,is product of,
3806fa1b1a7098b98c24a0c5b7dd2678,719,clotrimazole,,drug,,,P55072,Transitional endoplasmic reticulum ATPase,,gene product,,,CustomRO:TTD2,targets,
