id,semantic_groups,name
MP:0000702,DISO,enlarged lymph nodes
WBPhenotype:0000433,DISO,DNA synthesis variant
ENSEMBL:ENSCAFG00000030862,ORTH,COMMD4
ZP:0106515,DISO,"cardiac muscle cell cardiac ventricle condensed, abnormal"
ZP:0000380,DISO,"intestine increased thickness, abnormal"
ENSEMBL:ENSFCAG00000024658,ORTH,ENSEMBL:ENSFCAG00000024658
MONARCH:APO_0000059APO_0000002,GENO,vacuolar morphology:abnormal
ENSEMBL:ENSOANG00000040309,ORTH,ENSEMBL:ENSOANG00000040309
ENSEMBL:ENSACAG00000010833,ORTH,ENSEMBL:ENSACAG00000010833
ZP:0003686,DISO,"oligodendrocyte spinal cord decreased amount, abnormal"
ZP:0009002,DISO,"brain increased occurrence apoptotic process, abnormal"
ZP:0000567,DISO,"epiboly involved in gastrulation with mouth forming second delayed, abnormal"
ENSEMBL:ENSCAFG00000029992,ORTH,J9P895
RGD:619708,ORTH,Fez1
HP:0003189,DISO,Long nose
WBPhenotype:0000280,DISO,breaks in alae
WBPhenotype:0001989,DISO,hypoxia hypersensitive
ENSEMBL:ENSMMUG00000018254,ORTH,ENSEMBL:ENSMMUG00000018254
HGNC:903,GENE,AXIN1
ENSEMBL:ENSCAFG00000008513,ORTH,PRPF40B
ENSEMBL:ENSPTRG00000006931,ORTH,ENSEMBL:ENSPTRG00000006931
MGI:2385206,ORTH,Pabpc4
dictyBase:DDB_G0286661,GENO,DDB0187079
Coriell:GM04210,GENO,NIGMS-GM04210
ENSEMBL:ENSPTRG00000012258,ORTH,ENSEMBL:ENSPTRG00000012258
HP:0000431,DISO,Wide nasal bridge
NCBIGene:100000823,GENE,dlg4
WormBase:WBGene00001037,ORTH,dnj-19
ZP:0004124,DISO,"exocrine pancreas degenerate, abnormal"
Coriell:GM04860,GENO,NIGMS-GM04860
Xenbase:XB-GENE-995030,ORTH,add1
ENSEMBL:ENSGALG00000005894,ORTH,USP8
ZFIN:ZDB-GENE-120727-5,ORTH,pias1a
ENSEMBL:ENSMMUG00000009222,ORTH,ENSEMBL:ENSMMUG00000009222
HP:0008322,DISO,Abnormal mitochondrial morphology
HP:0008669,DISO,Abnormal spermatogenesis
MP:0005319,DISO,abnormal enzyme/coenzyme level
ZP:0106107,DISO,"anterior lateral plate mesoderm increased amount, abnormal"
WormBase:WBGene00020511,ORTH,immt-1
EFO:0007629,GENO,hemoglobin A1 measurement
ZP:0008026,DISO,"eye lacks all parts of type retinal photoreceptor layer, abnormal"
ENSEMBL:ENSPTRG00000014075,ORTH,ENSEMBL:ENSPTRG00000014075
ZFIN:ZDB-GENE-040426-710,ORTH,hnrnpl
MP:0000288,DISO,abnormal pericardium morphology
MP:0002722,DISO,abnormal immune system organ morphology
MP:0008826,DISO,abnormal splenic cell ratio
ENSEMBL:ENSACAG00000014782,ORTH,ENSEMBL:ENSACAG00000014782
ENSEMBL:ENSDARG00000070299,ORTH,BX942819.1
ENSEMBL:ENSMMUG00000014701,ORTH,ENSEMBL:ENSMMUG00000014701
MONARCH:APO_0000271APO_0000003,GENO,RNA modification:decreased
MP:0001410,DISO,head bobbing
FBcv:0000672,DISO,abnormal endomitotic cell cycle
MP:0009677,DISO,abnormal spinal cord dorsal column morphology
WormBase:WBGene00003079,ORTH,lsm-5
MP:0004804,DISO,decreased susceptibility to autoimmune diabetes
RGD:1595816,ORTH,RT1-M5
PomBase:SPAC17G8.14c,GENO,pck1
ENSEMBL:ENSECAG00000024801,ORTH,ENSEMBL:ENSECAG00000024801
ZP:0101697,DISO,"anatomical region dorsal aorta absent, abnormal"
ENSEMBL:ENSOANG00000011115,ORTH,ENSEMBL:ENSOANG00000011115
RGD:71015,ORTH,Ap2a2
RGD:1584269,ORTH,Wdr82
WBPhenotype:0002295,DISO,body posture wavelength decreased
WBPhenotype:0000082,DISO,L2 arrest
ENSEMBL:ENSOANG00000042657,ORTH,ENSEMBL:ENSOANG00000042657
ENSEMBL:ENSOANG00000047629,ORTH,ENSEMBL:ENSOANG00000047629
HP:0012795,DISO,Abnormality of the optic disc
WormBase:WBGene00014097,ORTH,ZK829.9
WormBase:WBGene00007624,ORTH,hrde-1
ZFIN:ZDB-GENE-040426-2575,ORTH,ctnnb2
HP:0000138,DISO,Ovarian cyst
ENSEMBL:ENSPTRG00000021055,ORTH,ENSEMBL:ENSPTRG00000021055
MP:0002887,DISO,decreased susceptibility to pharmacologically induced seizures
HP:0010553,DISO,Oculogyric crisis
dictyBase:DDB_G0283835,GENO,DDB0185717
WormBase:WBGene00002183,ORTH,kat-1
WBPhenotype:0002599,DISO,long-term habituation phenotype
ZFIN:ZDB-GENE-040426-2723,ORTH,fez1
