id,label,iri,semantic
ENSEMBL:ENSSSCG00000033987,UBE2E3,,gene
MP:0000790,abnormal stratification in cerebral cortex,,phenotype
ZP:0011626,"cell trunk apoptotic, abnormal",,phenotype
ZP:0019272,"pronephric nephron tubule epithelial cell differentiation process quality, abnormal",,phenotype
ENSEMBL:ENSACAG00000007327,ENSEMBL:ENSACAG00000007327,,gene
MP:0009154,pancreatic acinar hypoplasia,,phenotype
ENSEMBL:ENSOANG00000047629,ENSEMBL:ENSOANG00000047629,,gene
WormBase:WBGene00002583,let-363,,gene
ZP:0000943,"eye morphology, abnormal",,phenotype
ENSEMBL:ENSSSCG00000012913,PPP1CA,,gene
HGNC:9284,PPP1R10,,gene
ENSEMBL:ENSCAFG00000006887,ENSEMBL:ENSCAFG00000006887,,gene
MP:0003176,reversion by viral sequence excision,,phenotype
HP:0025097,Eyelid myoclonus,,phenotype
RGD:1305236,Psmd13,,gene
FlyBase:FBgn0036004,Jarid2,,gene
MONARCH:APO_0000257APO_0000003,cell cycle progression through the G2/M phase transition:decreased,,phenotype
ENSEMBL:ENSMODG00000012505,ENSEMBL:ENSMODG00000012505,,gene
WBPhenotype:0001482,frequency body bend reduced,,phenotype
dictyBase:DDB_G0288677,cdk5,,gene
ZFIN:ZDB-GENE-050327-68,ikbkg,,gene
WBPhenotype:0001418,organism hypersensitive desiccation,,phenotype
ENSEMBL:ENSSSCG00060023500,ENSEMBL:ENSSSCG00060023500,,gene
ENSEMBL:ENSMMUG00000020021,ENSEMBL:ENSMMUG00000020021,,gene
ZP:0000378,"cardiac jelly increased volume, abnormal",,phenotype
MONARCH:APO_0000076APO_0000003,mitochondrial transport:decreased,,phenotype
MP:0012674,tomacula,,phenotype
ENSEMBL:ENSMMUG00000011699,ENSEMBL:ENSMMUG00000011699,,gene
HGNC:30892,HUWE1,,gene
WormBase:WBGene00004506,rpt-6,,gene
WBPhenotype:0000072,body morphology variant,,phenotype
HGNC:9113,PML,,gene
ENSEMBL:ENSMMUG00000016001,ENSEMBL:ENSMMUG00000016001,,gene
HGNC:17822,PTGES2,,gene
ZP:0007287,"central artery morphology, abnormal",,phenotype
MP:0003244,loss of dopaminergic neurons,,phenotype
MP:0004151,decreased circulating iron level,,phenotype
ENSEMBL:ENSFCAG00000015280,ENSEMBL:ENSFCAG00000015280,,gene
HP:0001808,Fragile nails,,phenotype
ZP:0001115,"dopaminergic neuron diencephalon decreased amount, abnormal",,phenotype
WBPhenotype:0001943,rachis wide,,phenotype
ZP:0001506,"whole organism refractivity, abnormal",,phenotype
ZP:0000324,"whole organism decreased size, abnormal",,phenotype
ENSEMBL:ENSMODG00000018066,ENSEMBL:ENSMODG00000018066,,gene
WormBase:WBGene00018359,F42G8.8,,gene
XPO:0115659,abnormally ruffled dorsal fin,,phenotype
MP:0001053,abnormal neuromuscular synapse morphology,,phenotype
ENSEMBL:ENSBTAG00000044181,ENSEMBL:ENSBTAG00000044181,,gene
HP:0000234,Abnormality of the head,,phenotype
